                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                               surface_h1                              surface_he3                              surface_he4                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.1475506210984938E+002                  1.5000000000000000E+001                  2.0597718523607966E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1155                  6.2621896540319559E+000                  4.1636232407732776E-001                  7.8142749814915804E-008                  9.9999999551716445E-001                  9.9999994894090805E-001                  1.0000000000000000E+000                  7.8142749814915804E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9977583139147655E+033                  1.5677477262816407E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7220675040988951E+000                 -2.9026522225869282E+001                 -9.8999999999999986E+001                  4.7220675040988951E+000                  4.4781610041274353E+000                  1.8573707602445473E+004                  4.2688986043624393E+000                  7.0138613037897424E-001                  4.2112083517108578E+000                  1.6263287958691346E+004                  5.6776176503799748E-005                  2.9975626684986195E-001                  1.9748577055225914E+002                  2.9975626684986195E-001                  7.5308899413585371E+000                  7.8010624594965017E-001                  1.6487592672775421E+001                  6.2041196307776569E-001                  8.4951820966263547E-001                  1.2980765219081993E+000                  6.9903574483145370E-001                  2.8045978331573407E-001                  3.6915708182290523E-004                  9.2834288745831557E-003                  3.4416106108119933E-003                  9.3604466091399743E-003                  1.0493926641912600E+001                  4.2026284200347215E+000                  0.0000000000000000E+000                  7.0000000000000040E-001                  2.9797635251138489E-005                  2.7997020236474907E-001                  1.0081585468366041E-003                  2.0994599496976470E-003                  4.0903242835137500E-003                  2.7276855367058928E+000                  4.7176455785035856E+000                 -2.9026522225869282E+001                  6.0409307321295502E-007                                        0                                        0 
                                       2                  2.0655911179772892E+002                  1.5000000000000000E+001                  1.9628618393527404E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1314                  6.2097887777111858E+000                  4.1338299116960592E-001                  7.8142752545912656E-008                  9.9999999114203819E-001                  9.9999995934768648E-001                  1.0000000000000000E+000                  7.8142752545912656E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7727659507919699E+033                  1.5572733088271411E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6712136250217009E+000                 -2.9100022990116258E+001                 -9.8999999999999986E+001                  4.6712136250217009E+000                  4.4778946554773951E+000                  1.8613950267264248E+004                  4.2698385492307791E+000                  7.0238880011322569E-001                  4.2092030122423543E+000                  1.6188365907636622E+004                  5.7032640450130137E-005                  3.0216764752947545E-001                  1.9883461415753288E+002                  3.0216764752947545E-001                  7.5296824822482105E+000                  7.7575501710037387E-001                  1.6482111662487970E+001                  6.2041545273620125E-001                  8.4951481565409248E-001                  1.2980871591206617E+000                  6.9902898791686841E-001                  2.8046168408787919E-001                  3.3922523319535915E-004                  9.2831153426256741E-003                  3.4416106108119946E-003                  9.3604466091399812E-003                  1.0493879229608003E+001                  4.2026429463593882E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138957E-005                  2.7997020236474929E-001                  1.0081585468366041E-003                  2.0994599496976509E-003                  4.0903242835137509E-003                  2.6854818804184442E+000                  4.6667022774525968E+000                 -2.9100022990116258E+001                  9.8771109110398704E-008                                        0                                        0 
                                       4                  4.1434189742883132E+002                  1.5000000000000000E+001                  2.0543681295481027E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1301                  6.6807312111506034E+000                  4.4418499113612597E-001                  7.8142747253603500E-008                  9.9999999098197245E-001                  9.9999995860510560E-001                  1.0000000000000000E+000                  7.8142747253603500E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9774505720993565E+033                  1.2603632916691192E+034                  1.3306338041771552E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5382249277656331E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7100137437883980E+000                 -2.9290780897762865E+001                 -9.8999999999999986E+001                  4.7100137437883980E+000                  4.4761936336397001E+000                  1.8501137544261936E+004                  4.2671984318628970E+000                  7.0447078510467309E-001                  4.2050390422594601E+000                  1.6033895259226329E+004                  5.6299253063950204E-005                  3.0037393033228460E-001                  1.9722202446941714E+002                  3.0037393033228460E-001                  7.5265532237283423E+000                  7.6472584305463198E-001                  1.6468146279906478E+001                  6.2039516996926702E-001                  8.4953526159486514E-001                  1.2980289919678218E+000                  6.9906958309360034E-001                  2.8043620253051010E-001                  4.3828419931054869E-004                  9.2871640936785724E-003                  3.4416106108119951E-003                  9.3604466091399795E-003                  1.0493762753044440E+001                  4.2026729513369681E+000                  0.0000000000000000E+000                  7.0000000000000129E-001                  2.9797635251142914E-005                  2.7997020236474934E-001                  1.0081585468366047E-003                  2.0994599496976505E-003                  4.0903242835137535E-003                  2.8274717227064001E+000                  4.7042844142091260E+000                 -2.9290780897762865E+001                  8.3603655260765702E-008                                        0                                        0 
                                       6                  7.1354910873761889E+002                  1.5000000000000000E+001                  2.2127306216433524E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1300                  7.0854077493833465E+000                  4.7118987312278982E-001                  7.8142747039925979E-008                  9.9999999060848610E-001                  9.9999995757862825E-001                  1.0000000000000000E+000                  7.8142747039925979E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8852502165236103E+033                  1.2546567954533763E+034                  1.4180204632464841E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5124771445915381E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6846533215149133E+000                 -2.9559712630696186E+001                 -1.0837079843903322E+001                  4.6846533215149133E+000                  4.4733568717241230E+000                  1.8223316595327298E+004                  4.2606274202752239E+000                  7.0685880314199190E-001                  4.2002630061848221E+000                  1.5858532851440488E+004                  5.5281011030981048E-005                  2.9719250284701387E-001                  1.9473084610063327E+002                  2.9719250284701387E-001                  7.5221503924649191E+000                  7.4963499233240471E-001                  1.6448869192961997E+001                  6.2037936774426272E-001                  8.4955132523141696E-001                  1.2979843773547508E+000                  6.9910146652585547E-001                  2.8041361472878812E-001                  5.0114205935806566E-004                  9.2907573491318209E-003                  3.4416106108119951E-003                  9.3604466091399795E-003                  1.0493599315531579E+001                  4.2027098161608123E+000                  0.0000000000000000E+000                  7.0000000000000118E-001                  2.9797635251161362E-005                  2.7997020236474929E-001                  1.0081585468366047E-003                  2.0994599496976505E-003                  4.0903242835137535E-003                  2.8835668171745712E+000                  4.6777325646830770E+000                 -2.9559712630696186E+001                  7.0083694618204292E-008                                        0                                        0 
                                       8                  1.1264107514254574E+003                  1.5000000000000000E+001                  2.3430392511718692E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1292                  7.3452450742080924E+000                  4.8917915463816375E-001                  7.8142747044706739E-008                  9.9999999018164465E-001                  9.9999995621559745E-001                  1.0000000000000000E+000                  7.8142747044706739E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5002085130782018E+033                  1.2220254815924225E+034                  1.4709725698809828E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4885850273321260E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5850415851678026E+000                 -2.9839484651231984E+001                 -1.0837079843903322E+001                  4.5850415851678035E+000                  4.4701804869417954E+000                  1.7898477876102126E+004                  4.2528160992414925E+000                  7.0930591218978112E-001                  4.1953687880892438E+000                  1.5680820668181817E+004                  5.4230779548697323E-005                  2.9374172934725074E-001                  1.9212062686884195E+002                  2.9374172934725068E-001                  7.5175810575619328E+000                  7.3443961586972617E-001                  1.6429267868376783E+001                  6.2037755475768441E-001                  8.4955346397001952E-001                  1.2979809643037561E+000                  6.9910572886205546E-001                  2.8040460817711221E-001                  4.7404351811138474E-004                  9.2922163005392973E-003                  3.4416106108119946E-003                  9.3604466091399795E-003                  1.0493411883433799E+001                  4.2027521452171861E+000                  0.0000000000000000E+000                  7.0000000000000107E-001                  2.9797635251220302E-005                  2.7997020236474912E-001                  1.0081585468366047E-003                  2.0994599496976501E-003                  4.0903242835137535E-003                  2.8191467093544493E+000                  4.5775316010858713E+000                 -2.9839484651231984E+001                  4.9595880193083970E-008                                        0                                        0 
                                      10                  1.6940531992152619E+003                  1.5000000000000000E+001                  2.4908334293744794E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1290                  7.2813960821491674E+000                  4.8506754881806990E-001                  7.8142746822194651E-008                  9.9999998996822392E-001                  9.9999995497685223E-001                  1.0000000000000000E+000                  7.8142746822194651E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8782676411519325E+033                  1.1727653733801146E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4392672867973824E+000                 -3.0043441472986373E+001                 -9.8999999999999986E+001                  4.4392672867973824E+000                  4.4677502189218048E+000                  1.7666618761116530E+004                  4.2471534372314492E+000                  7.1133511722474152E-001                  4.1913103780193230E+000                  1.5534968537173225E+004                  5.3454845112621485E-005                  2.9132897378892281E-001                  1.9026558505201223E+002                  2.9132897378892275E-001                  7.5142508892233941E+000                  7.2393089492301643E-001                  1.6415477663595496E+001                  6.2038822402133764E-001                  8.4954311871317079E-001                  1.2980139782622140E+000                  6.9908522670789908E-001                  2.8040898939448305E-001                  3.7344796617872470E-004                  9.2915770211539819E-003                  3.4416106108119920E-003                  9.3604466091399777E-003                  1.0493225090868789E+001                  4.2028018678046557E+000                  0.0000000000000000E+000                  6.9999999999999962E-001                  2.9797635251373554E-005                  2.7997020236474907E-001                  1.0081585468366045E-003                  2.0994599496976501E-003                  4.0903242835137509E-003                  2.6729347918708197E+000                  4.4317649320873267E+000                 -3.0043441472986373E+001                  2.8873493633426529E-008                                        0                                        0 
                                      12                  2.5114583240325796E+003                  1.5000000000000000E+001                  2.6491959214697292E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1287                  6.7734963124985583E+000                  4.5137631061020034E-001                  7.8142746816109672E-008                  9.9999998948802726E-001                  9.9999995401580044E-001                  1.0000000000000000E+000                  7.8142746816109672E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2806609774640064E+033                  1.1143612089890376E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2915084123033367E+000                 -3.0127007794903054E+001                 -1.0962018580511621E+001                  4.2915084123033376E+000                  4.4666754539263556E+000                  1.7619341379542995E+004                  4.2459896702181315E+000                  7.1290276370897920E-001                  4.1881750850508475E+000                  1.5423221120573744E+004                  5.3088271559714647E-005                  2.9078920103112138E-001                  1.8964485902254435E+002                  2.9078920103112138E-001                  7.5128686826765101E+000                  7.2061963308453703E-001                  1.6410682498590734E+001                  6.2040215656229791E-001                  8.4952944122703233E-001                  1.2980560734921502E+000                  6.9905809932649554E-001                  2.8041847372265755E-001                  2.6242884160508292E-004                  9.2901581285259327E-003                  3.4416106108119916E-003                  9.3604466091399795E-003                  1.0493036336265563E+001                  4.2028677363250875E+000                  0.0000000000000000E+000                  6.9999999999999962E-001                  2.9797635251752310E-005                  2.7997020236474912E-001                  1.0081585468366045E-003                  2.0994599496976505E-003                  4.0903242835137500E-003                  2.5165662675441727E+000                  4.2841545770572562E+000                 -3.0127007794903054E+001                  1.5450636692231297E-008                                        0                                        0 
                                      14                  3.6885217037695174E+003                  1.5000000000000000E+001                  2.8075584135649789E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1283                  6.0024568208962297E+000                  3.9838503178365237E-001                  7.8142746593534917E-008                  9.9999998948802726E-001                  9.9999995352360072E-001                  1.0000000000000000E+000                  7.8142746593534917E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6854310257191306E+033                  1.0613605076549616E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1613901016683013E+000                 -3.0040750229402224E+001                 -9.8999999999999986E+001                  4.1613901016683013E+000                  4.4678344590049113E+000                  1.7904271718083193E+004                  4.2529566601566113E+000                  7.1406824852110917E-001                  4.1858441154265877E+000                  1.5340662500689825E+004                  5.3270211148702652E-005                  2.9311692644402165E-001                  1.9079541132703184E+002                  2.9311692644402165E-001                  7.5142277562887676E+000                  7.2727274922519114E-001                  1.6418402290351523E+001                  6.2041809777737578E-001                  8.4951357552655360E-001                  1.2981029217192366E+000                  6.9902660102870917E-001                  2.8043418760316335E-001                  1.6175366051737251E-004                  9.2877943680751418E-003                  3.4416106108119916E-003                  9.3604466091399795E-003                  1.0492840298278235E+001                  4.2029651572743774E+000                  0.0000000000000000E+000                  6.9999999999999918E-001                  2.9797635252631225E-005                  2.7997020236474918E-001                  1.0081585468366045E-003                  2.0994599496976505E-003                  4.0903242835137509E-003                  2.3615788718565081E+000                  4.1544488291530328E+000                 -3.0040750229402224E+001                  7.7678737860568434E-009                                        0                                        0 
                                      16                  5.3834929705907080E+003                  1.5000000000000000E+001                  2.9659209056602283E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1290                  5.2453042172283197E+000                  3.4904504819804621E-001                  7.8142746315022120E-008                  9.9999998975480320E-001                  9.9999995374243744E-001                  1.0000000000000000E+000                  7.8142746315022120E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3380893282499567E+033                  1.0234466819910229E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0905780765180895E+000                 -2.9744121440396754E+001                 -9.8999999999999986E+001                  4.0905780765180895E+000                  4.4719860445569912E+000                  1.8631573385617903E+004                  4.2702495314308102E+000                  7.1441151305404860E-001                  4.1851575863607087E+000                  1.5316431267688353E+004                  5.4167928771565256E-005                  2.9897248662007914E-001                  1.9413805982957689E+002                  2.9897248662007914E-001                  7.5190073030981610E+000                  7.4570232680403681E-001                  1.6441153771100613E+001                  6.2043844107883861E-001                  8.4949286131449420E-001                  1.2981598419983738E+000                  6.9898539860587439E-001                  2.8046479060875484E-001                  9.0572125693773328E-005                  9.2831050239218105E-003                  3.4416106108119946E-003                  9.3604466091399795E-003                  1.0492615791846815E+001                  4.2031311348646145E+000                  0.0000000000000000E+000                  6.9999999999999729E-001                  2.9797635254628983E-005                  2.7997020236474912E-001                  1.0081585468366045E-003                  2.0994599496976501E-003                  4.0903242835137509E-003                  2.1923145249290692E+000                  4.0850537416128532E+000                 -2.9744121440396754E+001                  4.4136262785565798E-011                                        0                                        0 
