                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  5.5901699437494777E+001                  2.0000000000000000E+001                  1.7474250108400471E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1190                  8.9477161144679478E+000                  4.4683688911891389E-001                  7.8131033202016591E-008                  9.9999999532508221E-001                  9.9999996615344766E-001                  4.4683688911891389E-001                  7.8131033202016591E-008                  9.9999999532508221E-001                  9.9999996615344766E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1346343238997975E+034                  1.7743898973358405E+034                  1.7834674697967176E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2660682930665641E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8977798801743564E+000                 -2.7859142477409865E+001                 -1.0837079843903322E+001                  4.8977798801743564E+000                  4.5401005696977661E+000                  4.4276621653312570E+004                  4.6461744764050330E+000                  7.6614493525961036E-001                  4.2066294785578853E+000                  1.6092720873491053E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5539734814454578E+000                  6.7584935109214517E-001                  1.6429112105743442E+001                  6.2038010453158421E-001                  8.4955272962380823E-001                  1.2980009537907014E+000                  6.9910502820906373E-001                  2.8036302397728990E-001                  2.0857323980815254E-004                  9.2949676983181233E-003                  3.4416106108119933E-003                  9.3604466091399708E-003                  1.3991944828688901E+001                  5.6029346539165861E+000                  0.0000000000000000E+000                  2.8354301565524827E+000                  4.8940013535979379E+000                 -2.7859142477409865E+001                  6.1135993719084809E-008                                        0                                        0 
                                       2                  1.2298373876248850E+002                  2.0000000000000000E+001                  1.8266062568876720E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1345                  9.1767432665244844E+000                  4.5826185796348662E-001                  7.8131038818725945E-008                  9.9999999511263016E-001                  9.9999996995553420E-001                  4.5826185796348662E-001                  7.8131038818725945E-008                  9.9999999511263016E-001                  9.9999996995553420E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1661325917960746E+034                  1.8046801483174001E+034                  1.8289738245102705E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2598837269681972E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9487980203120570E+000                 -2.7918461962968092E+001                 -9.8999999999999986E+001                  4.9487980203120570E+000                  4.5395194361846398E+000                  4.4149193314709570E+004                  4.6449227726435778E+000                  7.6668135040513397E-001                  4.2055566482668381E+000                  1.6053016359007590E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5529673720031676E+000                  6.7237991362200300E-001                  1.6424710587708834E+001                  6.2037280413114948E-001                  8.4955998575897151E-001                  1.2979793045616101E+000                  6.9911939243726740E-001                  2.8035637448517636E-001                  2.5835021218415346E-004                  9.2960660951839479E-003                  3.4416106108119985E-003                  9.3604466091399708E-003                  1.3991879887192365E+001                  5.6029612423202622E+000                  0.0000000000000000E+000                  2.9569911779359925E+000                  4.9443496621284808E+000                 -2.7918461962968092E+001                  7.3506104555523002E-008                                        0                                        0 
                                       4                  3.0008032258047189E+002                  2.0000000000000000E+001                  1.9849687489829215E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1322                  9.7896936726814960E+000                  4.8892649865288912E-001                  7.8131033318815737E-008                  9.9999999500640568E-001                  9.9999996945451930E-001                  4.8892649865288912E-001                  7.8131033318815737E-008                  9.9999999500640568E-001                  9.9999996945451930E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2055468155323716E+034                  1.8386620435783022E+034                  1.9511860827462682E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2305959710779834E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0099546190061020E+000                 -2.8117487642081134E+001                 -9.8999999999999986E+001                  5.0099546190061020E+000                  4.5374084137222468E+000                  4.3632235953583739E+004                  4.6398074691734230E+000                  7.6834574359484353E-001                  4.2022278618874189E+000                  1.5930443325995644E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5495971896899556E+000                  6.6096276743264315E-001                  1.6410135878572436E+001                  6.2035582275147549E-001                  8.4957694867886213E-001                  1.2979293924821940E+000                  6.9915296844217589E-001                  2.8033917889430893E-001                  3.6506980723792102E-004                  9.2989195393075787E-003                  3.4416106108120016E-003                  9.3604466091399691E-003                  1.3991684200232156E+001                  5.6030248928948403E+000                  0.0000000000000000E+000                  3.1440778048886830E+000                  5.0039996213655229E+000                 -2.8117487642081134E+001                  8.8647635367027410E-008                                        0                                        0 
                                       6                  5.5509940327836796E+002                  2.0000000000000000E+001                  2.1433312410781711E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1318                  1.0333924048967413E+001                  5.1449803267001659E-001                  7.8131033089928893E-008                  9.9999999479395496E-001                  9.9999996862126261E-001                  5.1449803267001659E-001                  7.8131033089928893E-008                  9.9999999479395496E-001                  9.9999996862126261E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1861368618250486E+034                  1.8206543641155166E+034                  2.0614138193433099E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1988950441229269E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9681676465044315E+000                 -2.8391687915566770E+001                 -9.8999999999999986E+001                  4.9681676465044315E+000                  4.5342866363378400E+000                  4.2838947813781073E+004                  4.6318387953932314E+000                  7.7060496147356161E-001                  4.1977094261299825E+000                  1.5765560886873773E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5449705545218499E+000                  6.4564547397903904E-001                  1.6390420498407156E+001                  6.2034722334816783E-001                  8.4958567902673621E-001                  1.2979048541990554E+000                  6.9917023770449860E-001                  2.8032760144533914E-001                  4.0411509736322759E-004                  9.3008510171117380E-003                  3.4416106108120020E-003                  9.3604466091399673E-003                  1.3991412573176543E+001                  5.6031021173568556E+000                  0.0000000000000000E+000                  3.1743138264488486E+000                  4.9611297204078086E+000                 -2.8391687915566770E+001                  7.7581332040785349E-008                                        0                                        0 
                                       8                  9.1262975071294227E+002                  2.0000000000000000E+001                  2.2880238767219812E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1316                  1.0547638509916842E+001                  5.2500444065528207E-001                  7.8131032980360178E-008                  9.9999999447527887E-001                  9.9999996761683874E-001                  5.2500444065528207E-001                  7.8131032980360178E-008                  9.9999999447527887E-001                  9.9999996761683874E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1120283393645411E+034                  1.7643871755909579E+034                  2.1057381438533286E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1728410793653442E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8412636115800725E+000                 -2.8628796375072614E+001                 -9.8999999999999986E+001                  4.8412636115800725E+000                  4.5314575791674869E+000                  4.2123863850347218E+004                  4.6245282004033355E+000                  7.7260777831931970E-001                  4.1937037924384670E+000                  1.5620818720446603E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5409849407700005E+000                  6.3277229212380537E-001                  1.6373699981790917E+001                  6.2035327255683692E-001                  8.4957985972611538E-001                  1.2979237950823364E+000                  6.9915869331669989E-001                  2.8032918116140759E-001                  3.4244548225663478E-004                  9.3006033601515607E-003                  3.4416106108120020E-003                  9.3604466091399673E-003                  1.3991118109162844E+001                  5.6031933284380724E+000                  0.0000000000000000E+000                  3.0638646601082304E+000                  4.8339516107719716E+000                 -2.8628796375072614E+001                  4.4508276321317157E-008                                        0                                        0 
                                      10                  1.4250517936564420E+003                  2.0000000000000000E+001                  2.4463863688172305E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1313                  1.0236375162754188E+001                  5.1051473533639413E-001                  7.8131032873446065E-008                  9.9999999426282815E-001                  9.9999996689432047E-001                  5.1051473533639413E-001                  7.8131032873446065E-008                  9.9999999426282815E-001                  9.9999996689432047E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0213234515212138E+034                  1.6832940652190379E+034                  2.1063597186176159E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1609094867743065E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6842843446818199E+000                 -2.8737986359122509E+001                 -9.8999999999999986E+001                  4.6842843446818199E+000                  4.5299708616124601E+000                  4.1754692970909222E+004                  4.6207052945939582E+000                  7.7366976052468506E-001                  4.1915798280277361E+000                  1.5544609912731881E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5391473779786908E+000                  6.2727789716846027E-001                  1.6366355980443981E+001                  6.2036763648098170E-001                  8.4956567861316201E-001                  1.2979667745730334E+000                  6.9913057174711379E-001                  2.8034058112781013E-001                  2.3638000761605927E-004                  9.2987313044073008E-003                  3.4416106108120020E-003                  9.3604466091399673E-003                  1.3990824917235676E+001                  5.6033120945084516E+000                  0.0000000000000000E+000                  2.8920220065318483E+000                  4.6772203693594268E+000                 -2.8737986359122509E+001                  1.3711365340153569E-008                                        0                                        0 
                                      12                  2.1629395354950816E+003                  2.0000000000000000E+001                  2.6047488609124803E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1306                  9.4624832345874967E+000                  4.7094510727384420E-001                  7.8131038817096585E-008                  9.9999999426282815E-001                  9.9999996666062252E-001                  4.7094510727384420E-001                  7.8131038817096585E-008                  9.9999999426282815E-001                  9.9999996666062252E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4680669216680872E+033                  1.6134969665920182E+034                  2.1060326545377063E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1684621630545239E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5584088983817033E+000                 -2.8684403656888371E+001                 -9.8999999999999986E+001                  4.5584088983817033E+000                  4.5303340516609447E+000                  4.1903684230145300E+004                  4.6222522084193072E+000                  7.7371683734039132E-001                  4.1914856743963238E+000                  1.5541240257130063E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5400265732258918E+000                  6.3100867627091539E-001                  1.6370786970659221E+001                  6.2038336473710598E-001                  8.4954991716767592E-001                  1.2980124188827538E+000                  6.9909928280022615E-001                  2.8035830390480920E-001                  1.4858368056003005E-004                  9.2958135521643386E-003                  3.4416106108119977E-003                  9.3604466091399691E-003                  1.3990516981171826E+001                  5.6034861483309939E+000                  0.0000000000000000E+000                  2.7257446295146921E+000                  4.5519771067040917E+000                 -2.8684403656888371E+001                 -2.4171837512109846E-009                                        0                                        0 
                                      14                  3.2254978837427225E+003                  2.0000000000000000E+001                  2.7631113530077300E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1302                  8.6453826450369924E+000                  4.3089923341686442E-001                  7.8131039039141190E-008                  9.9999999447527887E-001                  9.9999996702197202E-001                  4.3089923341686442E-001                  7.8131039039141190E-008                  9.9999999447527887E-001                  9.9999996702197202E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0333705584656745E+033                  1.5723682102265031E+034                  2.1048047065335564E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1962166119427209E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4970752450112448E+000                 -2.8456123286249721E+001                 -1.0837079843903322E+001                  4.4970752450112448E+000                  4.5329359512595060E+000                  4.2721971619168689E+004                  4.6306512871751533E+000                  7.7271257752119060E-001                  4.1934941940347246E+000                  1.5613281648568674E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5438362632006841E+000                  6.4440156630285383E-001                  1.6387674093374606E+001                  6.2040307564211672E-001                  8.4952974553697347E-001                  1.2980670215865484E+000                  6.9905915926457285E-001                  2.8039004914289772E-001                  9.0382998041669806E-005                  9.2905124407596795E-003                  3.4416106108119977E-003                  9.3604466091399691E-003                  1.3990155087506848E+001                  5.6037717726856462E+000                  0.0000000000000000E+000                  2.5432174197844870E+000                  4.4922184179859412E+000                 -2.8456123286249721E+001                 -1.0504373416983470E-008                                        0                                        0 
                                      16                  4.7555819052193256E+003                  2.0000000000000000E+001                  2.9214738451029794E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1300                  8.2081448510992114E+000                  4.1023072684283002E-001                  7.8131039261185795E-008                  9.9999999468772960E-001                  9.9999996796789059E-001                  4.1023072684283002E-001                  7.8131039261185795E-008                  9.9999999468772960E-001                  9.9999996796789059E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1403017816315966E+033                  1.5785344381126242E+034                  2.1033828500980519E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2364038837488291E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5300606934848737E+000                 -2.8130493526910570E+001                 -9.8999999999999986E+001                  4.5300606934848737E+000                  4.5369136821907814E+000                  4.3858858886443319E+004                  4.6420573280763922E+000                  7.7046013610925979E-001                  4.1979990768585864E+000                  1.5776079163140086E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5493231198119766E+000                  6.6252302031439791E-001                  1.6411007646769644E+001                  6.2043311130584478E-001                  8.4949851040036162E-001                  1.2981468922478905E+000                  6.9899686031185271E-001                  2.8045033548138443E-001                  6.7508142187998115E-005                  9.2802252388757174E-003                  3.4416106108119977E-003                  9.3604466091399691E-003                  1.3989633619245417E+001                  5.6042755976771090E+000                  0.0000000000000000E+000                  2.3131995179565146E+000                  4.5274167972080317E+000                 -2.8130493526910570E+001                 -1.4421574130596585E-008                                        0                                        0 
