                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                    1121                  8.4558563668722678E+006                  1.6185831429440327E+001                  1.5992655794682074E+000                  3.4507813463594040E+001                 -3.2218487496163561E+000                                     2431                  0.0000000000000000E+000                  9.9944438820594572E-001                  4.2253227186694131E-001                  2.8046352534637597E-001                  2.6611779210370917E-001                  9.9944438820594572E-001                  4.2253227186694131E-001                  2.8046352534637597E-001                  2.6611779210370917E-001                  3.8879838295574848E+033                  7.3122282096720341E+033                  9.2878574012755428E+033                  9.6323597728448891E+033                  1.2014933144328691E+034                  1.2042338514928186E+034                  1.2349890931435434E+034                  1.2416334781172242E+034                  6.0889219176588671E+000                  3.6881928312484726E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8043592073809815E+000                  4.8734563433434497E+000                  4.0374467444437654E+000                  4.9637740625171354E+000                  3.5477247787682122E+000                  1.0753826823967729E+005                  5.0315630384642560E+000                  2.9435907981483296E+000                 -2.4015722984968077E-001                  5.7523164558400630E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6009121661594747E+000                  3.9680178964234840E+000                  2.0379836973676408E+001                  1.7614339737960747E+000                  5.0000000000000011E-001                  1.4766846745314936E+001                  1.0000000000910323E-099                  1.5921903601082462E-016                  2.6767885270077157E-001                  7.0725829946810725E-001                  1.5659350157003168E-003                  7.0328480294737242E-003                  6.1581256279010077E+000                  6.0316241661345638E+000                  0.0000000000000000E+000                 -8.7737886323229863E-001                  3.8043501698300153E+000                  4.8734563433434497E+000                  6.7576784713376523E-004                                        0                                        0 
                                    1122                  8.4559040590139553E+006                  1.6157216144428102E+001                  1.6784468255158320E+000                  3.4507044985385967E+001                 -3.2218487496163561E+000                                     2431                  0.0000000000000000E+000                  9.9944438820594406E-001                  4.2319419526681801E-001                  2.8164184428607719E-001                  2.6637287772744472E-001                  9.9944438820594406E-001                  4.2319419526681801E-001                  2.8164184428607719E-001                  2.6637287772744472E-001                  3.9037151688686004E+033                  7.3110350733355108E+033                  9.2873407687609956E+033                  9.6316461370561229E+033                  1.2015164588321780E+034                  1.2042562021470708E+034                  1.2349298982628807E+034                  1.2415724548137979E+034                  6.0889219176588556E+000                  3.6881928312484780E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7951306603128452E+000                  4.8756626289425089E+000                  4.0375828385363866E+000                  4.9649525988419834E+000                  3.5476573111398846E+000                  1.0755531088212447E+005                  5.0316318599104148E+000                  2.9437601441280643E+000                 -2.4126440001721841E-001                  5.7376704444795357E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6014528237543360E+000                  3.9704550428804808E+000                  2.0382607309342099E+001                  1.7614339737962026E+000                  5.0000000000000000E-001                  1.4766846745323919E+001                  1.0000000000948275E-099                  1.6187465198003900E-016                  2.6767885269974551E-001                  7.0725829946757013E-001                  1.5655154503869948E-003                  7.0322686034314337E-003                  6.1404289101939149E+000                  6.0208903137404732E+000                  0.0000000000000000E+000                 -8.8148966639049076E-001                  3.7951215156319158E+000                  4.8756626289425089E+000                  6.3662418428618508E-004                                        0                                        0 
                                    1124                  8.4560072897117771E+006                  1.6095277725734572E+001                  1.7237652742921625E+000                  3.4505376925444097E+001                 -3.2218487496163561E+000                                     2432                  0.0000000000000000E+000                  9.9944438820594506E-001                  4.2456804770095846E-001                  2.8441236546909932E-001                  2.6533433229312259E-001                  9.9944438820594506E-001                  4.2456804770095846E-001                  2.8441236546909932E-001                  2.6533433229312259E-001                  3.9354048078196213E+033                  7.3085232008617147E+033                  9.2857264878699589E+033                  9.6289381992530832E+033                  1.2015702162298099E+034                  1.2043082763769327E+034                  1.2347961837836327E+034                  1.2414375023389202E+034                  6.0889219176588893E+000                  3.6881928312485068E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7740717345723720E+000                  4.8783936738858431E+000                  4.1271618564214219E+000                  4.9773731225425655E+000                  3.5474390317867130E+000                  1.0754012078579701E+005                  5.0315705199277438E+000                  2.9441660328430723E+000                 -2.4374423738910755E-001                  5.7050014956494999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6025897384110301E+000                  3.9756470652303921E+000                  2.0388483510104141E+001                  1.7614339737965035E+000                  5.0000000000000000E-001                  1.4766846745345056E+001                  1.0000000001037456E-099                  1.6760564055898213E-016                  2.6767885269733482E-001                  7.0725829946630214E-001                  1.5647994959627673E-003                  7.0312799821777494E-003                  6.1021257032944654E+000                  5.9976464561862786E+000                  0.0000000000000000E+000                 -8.9090113101260493E-001                  3.7740623413167236E+000                  4.8783936738858431E+000                  6.3117793944621680E-004                                        0                                        0 
                                    1126                  8.4561141123951674E+006                  1.6031184115700253E+001                  1.7212557983016961E+000                  3.4503644052510197E+001                 -3.2218487496163561E+000                                     2413                  0.0000000000000000E+000                  9.9944438820594417E-001                  4.2607988769120669E-001                  3.0116481020436581E-001                  2.5071388789923066E-001                  9.9944438820594417E-001                  4.2607988769120669E-001                  3.0116481020436581E-001                  2.5071388789923066E-001                  3.9857639915421848E+033                  7.3375306694208332E+033                  7.3484832573688365E+033                  9.5221595290233062E+033                  1.2017027563553225E+034                  1.2044981023306648E+034                  1.2344358843901135E+034                  1.2410982105259454E+034                  6.0889219176589204E+000                  3.6881928312485122E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7004597562932084E+000                  4.7780794283446131E+000                  5.1089273885782234E+000                  5.2867133722710307E+000                  3.5472658754853521E+000                  1.0751142115103389E+005                  5.0314546026646356E+000                  2.9444543868142401E+000                 -2.4605381826533973E-001                  5.6747427899415137E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6016011317696162E+000                  3.9756664025438342E+000                  2.0386732217728973E+001                  1.7614339737968041E+000                  5.0000000000000000E-001                  1.4766846745366202E+001                  1.0000000001126747E-099                  1.6269655880462903E-016                  2.6767885269492125E-001                  7.0725829946503560E-001                  1.5642957892607558E-003                  7.0305845079801843E-003                  6.0624923851801515E+000                  5.9734023000009477E+000                  0.0000000000000000E+000                 -9.2522484917816805E-001                  3.7004494736480962E+000                  4.7780794283446131E+000                  6.2092466053752628E-004                                        0                                        0 
                                    1128                  8.4562094250452891E+006                  1.5973996525627195E+001                  1.6677328467841748E+000                  3.4502092036196821E+001                 -3.2218487496163561E+000                                     2406                  0.0000000000000000E+000                  9.9944438820594272E-001                  4.2737653383703483E-001                  3.1344536117900657E-001                  2.5255132782347306E-001                  9.9944438820594272E-001                  4.2737653383703483E-001                  3.1344536117900657E-001                  2.5255132782347306E-001                  4.0180729541226194E+033                  7.3757055126316963E+033                  9.1603979824215040E+033                  9.5023609418940943E+033                  1.2018339829766844E+034                  1.2047024378076328E+034                  1.2341703897181153E+034                  1.2408810771203991E+034                  6.0889219176589080E+000                  3.6881928312485184E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416690394560267E+000                  4.7016755042097937E+000                  5.0310292401422583E+000                  5.2097846041338576E+000                  3.5470468219808158E+000                  1.0746045882872952E+005                  5.0312486905632161E+000                  2.9447895377726026E+000                 -2.4827613649544361E-001                  5.6457788636217821E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6010962139874962E+000                  3.9766138271132410E+000                  2.0386535620837680E+001                  1.7614339737970572E+000                  5.0000000000000000E-001                  1.4766846745384001E+001                  1.0000000001201931E-099                  1.6025770381289367E-016                  2.6767885269288877E-001                  7.0725829946397334E-001                  1.5636213385661385E-003                  7.0296533971765844E-003                  6.0271315999604580E+000                  5.9518949035112128E+000                  0.0000000000000000E+000                 -9.4800801466817353E-001                  3.6416578679212210E+000                  4.7016755042097937E+000                  6.4365093936323385E-004                                        0                                        0 
                                    1130                  8.4563006164133046E+006                  1.5919281704818244E+001                  1.6578176234432516E+000                  3.4500601918567895E+001                 -3.2218487496163561E+000                                     2404                  0.0000000000000000E+000                  9.9944438820593962E-001                  4.2862568023167724E-001                  3.1773046554653050E-001                  2.5469733747938089E-001                  9.9944438820593962E-001                  4.2862568023167724E-001                  3.1773046554653050E-001                  2.5469733747938089E-001                  4.0427544441993182E+033                  7.3840354955781893E+033                  9.1394228398334870E+033                  9.4857619251808341E+033                  1.2019523632104834E+034                  1.2048319019660438E+034                  1.2340025832915374E+034                  1.2407484469683758E+034                  6.0889219176588831E+000                  3.6881928312485210E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6007918724974903E+000                  4.6559555177595939E+000                  4.9274091357788441E+000                  5.1267189797266850E+000                  3.5469019798125627E+000                  1.0746280331884134E+005                  5.0312581655647426E+000                  2.9450839596098719E+000                 -2.5035509779890769E-001                  5.6188171872196324E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6012337843048172E+000                  3.9790510005746431E+000                  2.0388592059106049E+001                  1.7614339737973013E+000                  5.0000000000000000E-001                  1.4766846745401105E+001                  1.0000000001274203E-099                  1.6096442682112605E-016                  2.6767885269093511E-001                  7.0725829946295238E-001                  1.5631893764460525E-003                  7.0290571269770712E-003                  5.9933016851853536E+000                  5.9314350972374905E+000                  0.0000000000000000E+000                 -9.6053365479089969E-001                  3.6007799473228852E+000                  4.6559555177595939E+000                  6.4063105642223983E-004                                        0                                        0 
                                    1132                  8.4563995487116147E+006                  1.5859922325831807E+001                  1.7114253002051671E+000                  3.4498979506584313E+001                 -3.2218487496163561E+000                                     2399                  0.0000000000000000E+000                  9.9944438820593806E-001                  4.3004090698032416E-001                  3.1834008147647663E-001                  2.5712154315227781E-001                  9.9944438820593806E-001                  4.3004090698032416E-001                  3.1834008147647663E-001                  2.5712154315227781E-001                  4.0676359742084059E+033                  7.3898963660834536E+033                  9.1203087278861743E+033                  9.4692575598680038E+033                  1.2020399043872233E+034                  1.2049042925760724E+034                  1.2338843277588829E+034                  1.2406723561619404E+034                  6.0889219176588716E+000                  3.6881928312485059E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5694219417729203E+000                  4.6299694712547996E+000                  4.8152381111335227E+000                  5.0481085276783482E+000                  3.5466770507840395E+000                  1.0748429856315129E+005                  5.0313450266197686E+000                  2.9455772481944318E+000                 -2.5296408695160882E-001                  5.5851637813829291E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6019020023853017E+000                  3.9829739011451624E+000                  2.0392698748502465E+001                  1.7614339737975797E+000                  4.9999999999999994E-001                  1.4766846745420720E+001                  1.0000000001357007E-099                  1.6430456730115449E-016                  2.6767885268869662E-001                  7.0725829946177876E-001                  1.5625589389935766E-003                  7.0281869635844072E-003                  5.9566019257386404E+000                  5.9093293106499098E+000                  0.0000000000000000E+000                 -9.6758264200011068E-001                  3.5694093297127640E+000                  4.6299694712547996E+000                  6.4024558998933279E-004                                        0                                        0 
                                    1134                  8.4565132379730213E+006                  1.5791708768987606E+001                  1.7677132272659120E+000                  3.4497107576691981E+001                 -3.2218487496163561E+000                                     2396                  0.0000000000000000E+000                  9.9940647120550641E-001                  4.3167537949238127E-001                  3.1677250845456884E-001                  2.6007242361841154E-001                  9.9940647120550641E-001                  4.3167537949238127E-001                  3.1677250845456884E-001                  2.6007242361841154E-001                  4.0937683979373594E+033                  7.3902403639099429E+033                  9.1105787171815808E+033                  9.4582388731301081E+033                  1.2021078681588873E+034                  1.2049715159090481E+034                  1.2337853508756054E+034                  1.2406214355977531E+034                  6.0889219176588671E+000                  3.6881928312484966E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5433429411676496E+000                  4.6205919148120680E+000                  4.6988593116784161E+000                  4.9787519506365943E+000                  3.5464730197420544E+000                  1.0753576066543799E+005                  5.0315529114799729E+000                  2.9460892527085036E+000                 -2.5586002587208373E-001                  5.5480449893323391E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6031105423954060E+000                  3.9885668727582919E+000                  2.0399009980960731E+001                  1.7614339737979359E+000                  4.9999999999999994E-001                  1.4766846745445726E+001                  1.0000000001462525E-099                  1.7049571596247710E-016                  2.6767885268584446E-001                  7.0725829946027463E-001                  1.5618590221383624E-003                  7.0272210103821207E-003                  5.9144300959072567E+000                  5.8839903622504615E+000                  0.0000000000000000E+000                 -9.7181380462219313E-001                  3.5433296783989130E+000                  4.6205919148120680E+000                  6.3416302961101924E-004                                        0                                        0 
                                    1136                  8.4566393405524753E+006                  1.5716047221314646E+001                  1.8068093854758689E+000                  3.4495021775607405E+001                 -3.2218487496163561E+000                                     2397                  0.0000000000000000E+000                  9.9940647120550652E-001                  4.3375582976433991E-001                  3.1289839251528795E-001                  2.6369170590788921E-001                  9.9940647120550652E-001                  4.3375582976433991E-001                  3.1289839251528795E-001                  2.6369170590788921E-001                  4.1223034774019714E+033                  7.3887107775723626E+033                  9.1072602417461536E+033                  9.4508653039884053E+033                  1.2021734620246243E+034                  1.2050243024390776E+034                  1.2337275539004058E+034                  1.2405806591278369E+034                  6.0889219176588956E+000                  3.6881928312484886E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5199021929235998E+000                  4.6260953577838233E+000                  4.5858966460999477E+000                  4.9249269962105826E+000                  3.5462793117956504E+000                  1.0756749152112068E+005                  5.0316810409758217E+000                  2.9465407333492375E+000                 -2.5884878823812568E-001                  5.5099950888980942E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6047850748366059E+000                  3.9955924572860351E+000                  2.0407217258627377E+001                  1.7614339737983944E+000                  5.0000000000000011E-001                  1.4766846745477936E+001                  1.0000000001598221E-099                  1.7944872899635011E-016                  2.6767885268217673E-001                  7.0725829945832386E-001                  1.5617979680098359E-003                  7.0271367532340392E-003                  5.8676551951942493E+000                  5.8559224624146111E+000                  0.0000000000000000E+000                 -9.7589672624797819E-001                  3.5198883256103568E+000                  4.6260953577838233E+000                  6.1365781619805509E-004                                        0                                        0 
