                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                     187                  7.7025406448791130E+006                  1.9976057392992598E+001                  3.6802014327655308E+000                  3.4599188227672009E+001                 -5.3010299956639804E+000                                     2156                  2.7724681676791940E+000                  4.9497313276210864E-001                  2.7707083662027110E-001                  1.3873291366182094E-001                  7.8224713151442415E-008                  4.9497313276210864E-001                  2.7707083662027110E-001                  1.3873291366182094E-001                  7.8224713151442415E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1749946234442578E+033                  3.2768193103737659E+033                  1.0526487233222983E+034                  1.0598996083418977E+034                  1.1924913757177108E+034                  1.2653168047411180E+034                  5.4076316290964455E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9161872153393196E+000                  4.5838635165854278E+000                  3.1142253204165762E+000                  5.0867471704244194E+000                  4.1445067095191250E+000                  1.2178140626062233E+005                  5.0855809847267333E+000                  1.7770359097777426E+000                  2.1843273109694623E+000                  1.5287177596915021E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2443426512666615E+000                  2.9398193255691920E+000                  1.9066108385122295E+001                  1.3763205771856184E+000                  5.0000000000005917E-001                  4.4135513433336282E+000                  0.0000000000000000E+000                  8.6476255457290729E-001                  1.0880291937674344E-001                  2.3733951964480765E-003                  3.4416106108119873E-003                  9.3604466091399587E-003                  9.1661256979060326E+000                  1.0091845789789767E+001                  0.0000000000000000E+000                  3.4173686168285550E-001                  4.9161756451692487E+000                  4.5838635165854278E+000                  1.2192653320676332E-005                                        0                                        0 
                                     188                  7.7063714620002965E+006                  1.9956903307386678E+001                  3.5832914197574746E+000                  3.4598771603701401E+001                 -5.3010299956639804E+000                                     2173                  2.7761504373430492E+000                  4.9544819432910425E-001                  2.7767864515603602E-001                  1.3906525995336660E-001                  7.8299791095304272E-008                  4.9544819432910425E-001                  2.7767864515603602E-001                  1.3906525995336660E-001                  7.8299791095304272E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1820578250922793E+033                  3.2878280157296086E+033                  1.0542356318642377E+034                  1.0614044194964569E+034                  1.1935056531218072E+034                  1.2663764789149757E+034                  5.4076316284907451E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9147269738261459E+000                  4.5855995723007172E+000                  3.1140958152025009E+000                  5.0863076994357934E+000                  4.1436219994297572E+000                  1.2172713804807243E+005                  5.0853874113495827E+000                  1.7787085432679044E+000                  2.1805654200185338E+000                  1.5155330790721553E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2447313749592226E+000                  2.9401375258597935E+000                  1.9066557147488361E+001                  1.3780455852134630E+000                  5.0000000000000200E-001                  4.4313395080134272E+000                  0.0000000000000000E+000                  8.5933189746009153E-001                  1.1402310886705508E-001                  2.5835946756674211E-003                  3.4416106108119877E-003                  9.3604466091399639E-003                  9.1495521143539236E+000                  1.0074113578559821E+001                  0.0000000000000000E+000                  3.4412542829424891E-001                  4.9147153006617366E+000                  4.5855995723007172E+000                  1.4474903723310476E-005                                        0                                        0 
                                     190                  7.7118974377963403E+006                  1.9929273428406461E+001                  3.3911684510480806E+000                  3.4598169916255870E+001                 -5.3010299956639804E+000                                     2158                  2.7870770731425387E+000                  4.9613508207237478E-001                  2.7855979413895005E-001                  1.3980660324828376E-001                  7.8408345816072256E-008                  4.9613508207237478E-001                  2.7855979413895005E-001                  1.3980660324828376E-001                  7.8408345816072256E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1911152716663511E+033                  3.3024446947254176E+033                  1.0565025248461360E+034                  1.0636371375824987E+034                  1.1949717585310105E+034                  1.2677993476047667E+034                  5.4076316347903459E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9129869064266938E+000                  4.5855250934069476E+000                  3.2077326436710836E+000                  5.0862283924007903E+000                  4.1424354332644038E+000                  1.2167949406965621E+005                  5.0852173952986126E+000                  1.7809966675731232E+000                  2.1753874839625631E+000                  1.4975712153993521E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2451979789804231E+000                  2.9402667414828580E+000                  1.9066806364346785E+001                  1.3804772377840835E+000                  4.9999999999987699E-001                  4.4565827826749080E+000                  0.0000000000000000E+000                  8.5170163390536091E-001                  1.2133789641424396E-001                  2.8999307460836005E-003                  3.4416106108119925E-003                  9.3604466091399795E-003                  9.1256466325089605E+000                  1.0048481021073915E+001                  0.0000000000000000E+000                  3.3761442476447662E-001                  4.9129753607975761E+000                  4.5855250934069476E+000                  2.0010981007264995E-005                                        0                                        0 
                                     192                  7.7162436520624515E+006                  1.9907542357075904E+001                  3.3269568443476283E+000                  3.4597696099003421E+001                 -5.3010299956639804E+000                                     2138                  2.7933613011848797E+000                  4.9667666308044778E-001                  2.7920454628512725E-001                  1.4030867042030837E-001                  7.8493936683798893E-008                  4.9667666308044778E-001                  2.7920454628512725E-001                  1.4030867042030837E-001                  7.8493936683798893E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1987258129395479E+033                  3.3147610547739096E+033                  1.0583353580946188E+034                  1.0653812439075889E+034                  1.1961007137155371E+034                  1.2688937450036343E+034                  5.4076316332154661E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9117006263036718E+000                  4.5865824236894719E+000                  3.2397579060074677E+000                  5.0861403687316766E+000                  4.1415170624976971E+000                  1.2162790845205217E+005                  5.0850332385555417E+000                  1.7827413307350028E+000                  2.1714243403863578E+000                  1.4839673315906705E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2456048799104753E+000                  2.9404849806887183E+000                  1.9067161604034119E+001                  1.3823893528285605E+000                  4.9999999999999878E-001                  4.4765722843661484E+000                  0.0000000000000000E+000                  8.4572264409243292E-001                  1.2705377478678775E-001                  3.1632082741887674E-003                  3.4416106108119946E-003                  9.3604466091399847E-003                  9.1068446765431066E+000                  1.0028258633787493E+001                  0.0000000000000000E+000                  3.3688710599057325E-001                  4.9116890658049179E+000                  4.5865824236894719E+000                  2.2300196683637648E-005                                        0                                        0 
                                     194                  7.7203642551578814E+006                  1.9886939341598751E+001                  3.3109728857254344E+000                  3.4597246399630556E+001                 -5.3010299956639804E+000                                     2144                  2.7983181692293209E+000                  4.9719122375773028E-001                  2.7980415489963195E-001                  1.4070390004557276E-001                  7.8575256967639007E-008                  4.9719122375773028E-001                  2.7980415489963195E-001                  1.4070390004557276E-001                  7.8575256967639007E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2065980458140707E+033                  3.3282024889226977E+033                  1.0600055228069919E+034                  1.0669361110818011E+034                  1.1971512939772742E+034                  1.2696717719636444E+034                  5.4129669115736627E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9105674486660282E+000                  4.5903568133383965E+000                  3.1807808532562039E+000                  5.0857973818249258E+000                  4.1405691673008072E+000                  1.2156991017735368E+005                  5.0848260958165081E+000                  1.7845335497592654E+000                  2.1673902029649632E+000                  1.4702466650393009E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2460974162421845E+000                  2.9410312876834519E+000                  1.9067926788785247E+001                  1.3842651666937085E+000                  4.9999999999999817E-001                  4.4963029272216160E+000                  6.9190222182900869E-062                  8.3987504395849499E-001                  1.3263323237971703E-001                  3.4302142190281125E-003                  3.4416106108119899E-003                  9.3604466091399725E-003                  9.0890282617023939E+000                  1.0008988502165190E+001                  0.0000000000000000E+000                  3.3782501479612703E-001                  4.9105558329045556E+000                  4.5903568133383965E+000                  2.3033616658826251E-005                                        0                                        0 
                                     196                  7.7243767625230374E+006                  1.9866876804772968E+001                  3.3001936014906419E+000                  3.4596808049272234E+001                 -5.3010299956639804E+000                                     2129                  2.8032147212621505E+000                  4.9500646980190288E-001                  2.8039096626405052E-001                  1.4108998940067707E-001                  7.8654606050498899E-008                  4.9500646980190288E-001                  2.8039096626405052E-001                  1.4108998940067707E-001                  7.8654606050498899E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2118598374406763E+033                  3.3404459121431551E+033                  1.0616259543186030E+034                  1.0684927714514856E+034                  1.1981650058863257E+034                  1.2704233897033839E+034                  5.4200806215431774E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9093564233361349E+000                  4.5920847541808412E+000                  3.1872751064272022E+000                  5.0856242369457325E+000                  4.1395905033412115E+000                  1.2152030247668251E+005                  5.0846488418602478E+000                  1.7864022507003283E+000                  2.1632144507245199E+000                  1.4561779507083793E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2465122218352533E+000                  2.9413496898484301E+000                  1.9068399171179397E+001                  1.3860899211348465E+000                  5.0000000000000355E-001                  4.5156122007220736E+000                  0.0000000000000000E+000                  8.3420304388322342E-001                  1.3803240163799521E-001                  3.7028573254848608E-003                  3.4416106108119881E-003                  9.3604466091399691E-003                  9.0716888938653533E+000                  9.9901431675278491E+000                  0.0000000000000000E+000                  3.3788814790181182E-001                  4.9093447734451665E+000                  4.5920847541808412E+000                  2.3596443856280342E-005                                        0                                        0 
                                     198                  7.7283345494734654E+006                  1.9847087870020829E+001                  3.2953729255524840E+000                  3.4596375243031545E+001                 -5.3010299956639804E+000                                     2126                  2.8101493607094121E+000                  4.9550002587406083E-001                  2.8096810545830148E-001                  1.4157540852858308E-001                  7.8733030317579278E-008                  4.9550002587406083E-001                  2.8096810545830148E-001                  1.4157540852858308E-001                  7.8733030317579278E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2163031657321317E+033                  3.3509660980497024E+033                  1.0630843254650440E+034                  1.0698407344111976E+034                  1.1991622993584324E+034                  1.2713633521792557E+034                  5.4261780872312961E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9081411798798023E+000                  4.5920832699915755E+000                  3.2376658258060504E+000                  5.0854902512204134E+000                  4.1386246393978405E+000                  1.2147493459094431E+005                  5.0844866738861070E+000                  1.7882528945999983E+000                  2.1590803566844907E+000                  1.4423822080810874E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2468556636109351E+000                  2.9414570292419397E+000                  1.9068608352844137E+001                  1.3878394231628119E+000                  5.0000000000000011E-001                  4.5342332573367479E+000                  0.0000000000000000E+000                  8.2878070202388610E-001                  1.4317808268083229E-001                  3.9799460822695573E-003                  3.4416106108119868E-003                  9.3604466091399656E-003                  9.0545953404271273E+000                  9.9715164969507448E+000                  0.0000000000000000E+000                  3.3772923815105160E-001                  4.9081295016179549E+000                  4.5920832699915755E+000                  2.3946633176577414E-005                                        0                                        0 
                                     200                  7.7322612041809261E+006                  1.9827454596483523E+001                  3.2918904888528719E+000                  3.4595945414606319E+001                 -5.3010299956639804E+000                                     2114                  2.8163300592075426E+000                  4.9599067319836943E-001                  2.8152894816586765E-001                  1.4202931005444575E-001                  7.8810992065747598E-008                  4.9599067319836943E-001                  2.8152894816586765E-001                  1.4202931005444575E-001                  7.8810992065747598E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2213196900177835E+033                  3.3627923476370582E+033                  1.0645025341655934E+034                  1.0713317980032484E+034                  1.2001226078348067E+034                  1.2722428860297390E+034                  5.4320214918490670E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9068894534035881E+000                  4.5934469264655631E+000                  3.2608174422882397E+000                  5.0854354710229668E+000                  4.1375989252818481E+000                  1.2142256949928953E+005                  5.0842994190125950E+000                  1.7902106953952279E+000                  2.1547349266688056E+000                  1.4280220936096092E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2472505433268157E+000                  2.9417397818673070E+000                  1.9069035917210932E+001                  1.3896115934703395E+000                  4.9999999999999994E-001                  4.5532044141235284E+000                  0.0000000000000000E+000                  8.2330344790872900E-001                  1.4836550722805109E-001                  4.2698396742786009E-003                  3.4416106108119873E-003                  9.3604466091399708E-003                  9.0376448798295108E+000                  9.9529570729004710E+000                  0.0000000000000000E+000                  3.3987396062628478E-001                  4.9068776834512686E+000                  4.5934469264655631E+000                  2.4260588156863173E-005                                        0                                        0 
                                     202                  7.7361717016640585E+006                  1.9807902109067861E+001                  3.2913326157703944E+000                  3.4595516931616046E+001                 -5.3010299956639804E+000                                     2100                  2.8205848008649346E+000                  4.9648026827726843E-001                  2.8209400251576389E-001                  1.4238932357226786E-001                  7.8888786947395317E-008                  4.9648026827726843E-001                  2.8209400251576389E-001                  1.4238932357226786E-001                  7.8888786947395317E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2267575171154693E+033                  3.3748505580332756E+033                  1.0658702162614956E+034                  1.0726115116498695E+034                  1.2010241125627349E+034                  1.2732353507018881E+034                  5.4371027132558156E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9057682818040114E+000                  4.5957321418746995E+000                  3.2431651514139768E+000                  5.0851721060291055E+000                  4.1365207622590647E+000                  1.2136571838712561E+005                  5.0840960309087535E+000                  1.7922653273888733E+000                  2.1501971796912391E+000                  1.4131790147914541E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2476815414174407E+000                  2.9421497661861764E+000                  1.9069619247907539E+001                  1.3914045171995932E+000                  4.9999999999999750E-001                  4.5725101697999238E+000                  0.0000000000000000E+000                  8.1777788529987305E-001                  1.5358726899910727E-001                  4.5731194064034765E-003                  3.4416106108119907E-003                  9.3604466091399777E-003                  9.0207728011652133E+000                  9.9344030811838273E+000                  0.0000000000000000E+000                  3.3844760280778036E-001                  4.9057565201198479E+000                  4.5957321418746995E+000                  2.4477153621353000E-005                                        0                                        0 
