                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                               surface_h1                              surface_he3                              surface_he4                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  5.5901699437494777E+001                  2.0000000000000000E+001                  1.7474250108400471E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1190                  8.9477161144679478E+000                  4.4683688911891389E-001                  7.8131033202016591E-008                  9.9999999532508221E-001                  9.9999996615344766E-001                  4.4683688911891389E-001                  7.8131033202016591E-008                  9.9999999532508221E-001                  9.9999996615344766E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1346343239133176E+034                  1.7743898973553708E+034                  1.7834674697966168E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2660682930988339E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8977798803069588E+000                 -2.7859142476944786E+001                 -9.8999999999999986E+001                  4.8977798803069588E+000                  4.5401005696799110E+000                  4.4276621642355203E+004                  4.6461744762975563E+000                  7.6614493524158278E-001                  4.2066294785939409E+000                  1.6092720874827066E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5539734814821431E+000                  6.7584935110884192E-001                  1.6429112105811246E+001                  6.2038010453158499E-001                  8.4955272962380701E-001                  1.2980009537907033E+000                  6.9910502820906217E-001                  2.8036302397729074E-001                  2.0857323980405821E-004                  9.2949676983179567E-003                  3.4416106108119933E-003                  9.3604466091399708E-003                  1.3991944828688895E+001                  5.6029346539165976E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.9797635251138289E-005                  2.7997020236474895E-001                  1.0081585468366037E-003                  2.0994599496976483E-003                  4.0903242835137526E-003                  2.8354301566625604E+000                  4.8940013537307374E+000                 -2.7859142476944786E+001                  6.1162316868642184E-008                                        0                                        0 
                                       2                  1.2298373876248850E+002                  2.0000000000000000E+001                  1.8266062568876720E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1192                  9.1767432631036741E+000                  4.5826185796348062E-001                  7.8131032801883521E-008                  9.9999999511263138E-001                  9.9999996995553431E-001                  4.5826185796348062E-001                  7.8131032801883521E-008                  9.9999999511263138E-001                  9.9999996995553431E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1661941981761618E+034                  1.8047715151627451E+034                  1.8289731891206278E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2599515655078710E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9489357626779524E+000                 -2.7917963651739630E+001                 -9.8999999999999986E+001                  4.9489357626779524E+000                  4.5395346071306761E+000                  4.4153079412979037E+004                  4.6449609984102205E+000                  7.6667012139638446E-001                  4.2055791062843371E+000                  1.6053846505967716E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5529760483683805E+000                  6.7239776480705438E-001                  1.6424738378836423E+001                  6.2037280525774341E-001                  8.4955998464322746E-001                  1.2979793078838942E+000                  6.9911939021579883E-001                  2.8035637552323189E-001                  2.5834278319321617E-004                  9.2960658976291525E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.3991879866697545E+001                  5.6029612518743797E+000                  0.0000000000000000E+000                  7.0000000000000073E-001                  2.9797635251138354E-005                  2.7997020236474895E-001                  1.0081585468366050E-003                  2.0994599496976488E-003                  4.0903242835137535E-003                  2.9571163250815693E+000                  4.9444875341647965E+000                 -2.7917963651739630E+001                  7.2007321386092643E-008                                        0                                        0 
                                       4                  3.0008032258047189E+002                  2.0000000000000000E+001                  1.9849687489829215E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1192                  9.7899959252125690E+000                  4.8892649865288851E-001                  7.8131032697566596E-008                  9.9999999490018066E-001                  9.9999996945952396E-001                  4.8892649865288851E-001                  7.8131032697566596E-008                  9.9999999490018066E-001                  9.9999996945952396E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2056532520511387E+034                  1.8387709240975228E+034                  1.9511854337833473E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2307228273916100E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0100630237121520E+000                 -2.8117030776627256E+001                 -9.8999999999999986E+001                  5.0100630237121520E+000                  4.5374223433396299E+000                  4.3634195591291442E+004                  4.6398269740352145E+000                  7.6832763679097360E-001                  4.2022640754951590E+000                  1.5931771740016016E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5496051412518481E+000                  6.6097741383485786E-001                  1.6410159900950010E+001                  6.2035582653581256E-001                  8.4957694494084557E-001                  1.2979294037276079E+000                  6.9915296100806168E-001                  2.8033918209708675E-001                  3.6504321164872308E-004                  9.2989189352721668E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  1.3991684127182168E+001                  5.6030249243364727E+000                  0.0000000000000000E+000                  7.0000000000000040E-001                  2.9797635251138347E-005                  2.7997020236474895E-001                  1.0081585468366047E-003                  2.0994599496976488E-003                  4.0903242835137535E-003                  3.1441749373927879E+000                  5.0041081816972408E+000                 -2.8117030776627256E+001                  8.8359603255847130E-008                                        0                                        0 
                                       6                  5.5509940327836796E+002                  2.0000000000000000E+001                  2.1433312410781711E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1188                  1.0334533449221512E+001                  5.1449803267001604E-001                  7.8131032466057536E-008                  9.9999999468772993E-001                  9.9999996862659069E-001                  5.1449803267001604E-001                  7.8131032466057536E-008                  9.9999999468772993E-001                  9.9999996862659069E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1862090986985606E+034                  1.8207162347081220E+034                  2.0614113240052019E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1989962890512809E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9682339931102293E+000                 -2.8391334153967303E+001                 -9.8999999999999986E+001                  4.9682339931102293E+000                  4.5342899172046502E+000                  4.2834672032259870E+004                  4.6317954460325916E+000                  7.7057672505961983E-001                  4.1977658989578659E+000                  1.5767611071097032E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5449767071943592E+000                  6.4565506205247669E-001                  1.6390437614171809E+001                  6.2034722932114494E-001                  8.4958567312139166E-001                  1.2979048719444843E+000                  6.9917022596762957E-001                  2.8032760655137157E-001                  4.0407326918481297E-004                  9.3008500645862628E-003                  3.4416106108120011E-003                  9.3604466091399812E-003                  1.3991412451646207E+001                  5.6031021702022166E+000                  0.0000000000000000E+000                  7.0000000000000073E-001                  2.9797635251138347E-005                  2.7997020236474895E-001                  1.0081585468366050E-003                  2.0994599496976483E-003                  4.0903242835137535E-003                  3.1743706322520122E+000                  4.9611962228841930E+000                 -2.8391334153967303E+001                  7.7366196833943008E-008                                        0                                        0 
                                       8                  9.0697229658721483E+002                  2.0000000000000000E+001                  2.2797001332139102E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1187                  1.0549032930974077E+001                  5.2500444065528151E-001                  7.8131032353622647E-008                  9.9999999447527921E-001                  9.9999996762901355E-001                  5.2500444065528151E-001                  7.8131032353622647E-008                  9.9999999447527921E-001                  9.9999996762901355E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1131804484741386E+034                  1.7656832278622987E+034                  2.1057228514381040E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1731227033687844E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8432493971228547E+000                 -2.8626601441396609E+001                 -1.0536049848239340E+001                  4.8432493971228547E+000                  4.5314765501671417E+000                  4.2121539675577442E+004                  4.6245042376413217E+000                  7.7255785493900242E-001                  4.1938036391991016E+000                  1.5624410447988643E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5410219893198587E+000                  6.3287911280479259E-001                  1.6373844634975580E+001                  6.2035310412940325E-001                  8.4958002539081245E-001                  1.2979232873373980E+000                  6.9915902175420319E-001                  2.8032906145530390E-001                  3.4376459244011393E-004                  9.3006229170941000E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.3991121576566378E+001                  5.6031920647991642E+000                  0.0000000000000000E+000                  7.0000000000000073E-001                  2.9797635251138347E-005                  2.7997020236474895E-001                  1.0081585468366050E-003                  2.0994599496976483E-003                  4.0903242835137544E-003                  3.0659835125501607E+000                  4.8359351366149337E+000                 -2.8626601441396609E+001                  4.4924291314858335E-008                                        0                                        0 
                                      10                  1.4096667114677089E+003                  2.0000000000000000E+001                  2.4380626253091600E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1183                  1.0248128095487173E+001                  5.1184250111426755E-001                  7.8131032019116048E-008                  9.9999999426282848E-001                  9.9999996691423843E-001                  5.1184250111426755E-001                  7.8131032019116048E-008                  9.9999999426282848E-001                  9.9999996691423843E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0239589629939102E+034                  1.6850264819184191E+034                  2.1063545458267331E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1609695855814045E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6875573745083301E+000                 -2.8737508960124828E+001                 -9.8999999999999986E+001                  4.6875573745083301E+000                  4.5299722873605335E+000                  4.1747871801201065E+004                  4.6206343411716517E+000                  7.7363143231738574E-001                  4.1916564844423343E+000                  1.5547353901617264E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5391558332591817E+000                  6.2728104951176400E-001                  1.6366371258985762E+001                  6.2036728180373746E-001                  8.4956603148585208E-001                  1.2979657298521421E+000                  6.9913127191667201E-001                  2.8034023861338120E-001                  2.3866836340983360E-004                  9.2987873847313884E-003                  3.4416106108120016E-003                  9.3604466091399812E-003                  1.3990832073922938E+001                  5.6033085916424215E+000                  0.0000000000000000E+000                  7.0000000000000062E-001                  2.9797635251138350E-005                  2.7997020236474890E-001                  1.0081585468366050E-003                  2.0994599496976483E-003                  4.0903242835137544E-003                  2.8958619143407458E+000                  4.6804840971214228E+000                 -2.8737508960124828E+001                  1.4325643259627896E-008                                        0                                        0 
                                      12                  2.1335466688956208E+003                  2.0000000000000000E+001                  2.5964251174044093E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1179                  9.4876637600714346E+000                  4.7373297696643607E-001                  7.8131037868278415E-008                  9.9999999426282848E-001                  9.9999996666557012E-001                  4.7373297696643607E-001                  7.8131037868278415E-008                  9.9999999426282848E-001                  9.9999996666557012E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4820035977407371E+033                  1.6152484038612846E+034                  2.1060591673858517E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1678637916756931E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5614438807246556E+000                 -2.8689177848784364E+001                 -9.8999999999999986E+001                  4.5614438807246556E+000                  4.5302757292085207E+000                  4.1880284955956893E+004                  4.6220096279824165E+000                  7.7371219202679320E-001                  4.1914949650235194E+000                  1.5541572726041888E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5399474326318998E+000                  6.3071216342339920E-001                  1.6370420792833865E+001                  6.2038281829714093E-001                  8.4955047061544031E-001                  1.2980108690609871E+000                  6.9910038248859485E-001                  2.8035755578680049E-001                  1.5091556519448445E-004                  9.2959371969481199E-003                  3.4416106108119942E-003                  9.3604466091399760E-003                  1.3990527431337359E+001                  5.6034790233120209E+000                  0.0000000000000000E+000                  7.0000000000000029E-001                  2.9797635251138303E-005                  2.7997020236474890E-001                  1.0081585468366052E-003                  2.0994599496976479E-003                  4.0903242835137544E-003                  2.7309419386914890E+000                  4.5549797455746228E+000                 -2.8689177848784364E+001                 -2.0192540806549976E-009                                        0                                        0 
                                      14                  3.1759338075918135E+003                  2.0000000000000000E+001                  2.7547876094996591E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1168                  8.6641752927532689E+000                  4.3089923341686326E-001                  7.8131037868278415E-008                  9.9999999447527932E-001                  9.9999996700462213E-001                  4.3089923341686326E-001                  7.8131037868278415E-008                  9.9999999447527932E-001                  9.9999996700462213E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0359970014844447E+033                  1.5729802621154617E+034                  2.1048586313182850E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.1943389435521208E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4972806010486099E+000                 -2.8467578107470576E+001                 -9.8999999999999986E+001                  4.4972806010486099E+000                  4.5327926377906538E+000                  4.2675159987135237E+004                  4.6301751579390791E+000                  7.7276113984085926E-001                  4.1933970693953873E+000                  1.5609790319853188E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5436443277697309E+000                  6.4374496673606285E-001                  1.6386838556191179E+001                  6.2040222776301601E-001                  8.4953062184968120E-001                  1.2980647285629459E+000                  6.9906090468729332E-001                  2.8038848210137235E-001                  9.1781026775905624E-005                  9.2907765645326799E-003                  3.4416106108119942E-003                  9.3604466091399760E-003                  1.3990170984156007E+001                  5.6037575502468435E+000                  0.0000000000000000E+000                  7.0000000000000029E-001                  2.9797635251138303E-005                  2.7997020236474890E-001                  1.0081585468366052E-003                  2.0994599496976479E-003                  4.0903242835137544E-003                  2.5500928188951009E+000                  4.4923481769942564E+000                 -2.8467578107470576E+001                 -1.0254155590156807E-008                                        0                                        0 
                                      16                  4.6769712873143308E+003                  2.0000000000000000E+001                  2.9131501015949088E+000                  3.4599708446224163E+001                 -9.8999999999999986E+001                                     1166                  8.2113941487747351E+000                  4.1023072684282863E-001                  7.8131037868278415E-008                  9.9999999468773004E-001                  9.9999996792241785E-001                  4.1023072684282863E-001                  7.8131037868278415E-008                  9.9999999468773004E-001                  9.9999996792241785E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1255418103755782E+033                  1.5773448225351054E+034                  2.1034321983554524E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2342520596583159E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5271991492858987E+000                 -2.8143923533913778E+001                 -9.8999999999999986E+001                  4.5271991492858987E+000                  4.5367447247614425E+000                  4.3814553856435261E+004                  4.6416183938296465E+000                  7.7057858384456435E-001                  4.1977621813879775E+000                  1.5767476100592687E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5490955750802700E+000                  6.6180028323903961E-001                  1.6410064488872337E+001                  6.2043155785642146E-001                  8.4950013120270795E-001                  1.2981428030455702E+000                  6.9900009659630269E-001                  2.8044707533070207E-001                  6.7882031365270798E-005                  9.2807870019427901E-003                  3.4416106108119942E-003                  9.3604466091399760E-003                  1.3989661987770001E+001                  5.6042472258290896E+000                  0.0000000000000000E+000                  7.0000000000000029E-001                  2.9797635251138303E-005                  2.7997020236474890E-001                  1.0081585468366052E-003                  2.0994599496976479E-003                  4.0903242835137544E-003                  2.3231123773401676E+000                  4.5244760820699979E+000                 -2.8143923533913778E+001                 -1.4311427534816304E-008                                        0                                        0 
