                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.0000000000000000E+001      2.0000000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.9999999999999684E+001                 -4.9999999999999991E+000                  3.4599708446224156E+001                 -7.5021783559508526E+000                                      486                  1.2685822458359285E-003                  9.9988930339994508E-001                  1.6595325201827519E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994508E-001                  1.6595325201827519E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681144369469575E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681144369469575E+001                  3.6092899184393463E+000                  3.9327394796046668E+004                  4.5946951779588074E+000                  2.6020265885533367E+000                  5.3486617197042607E-001                  3.4266217877940877E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787107164198776E+000                 -5.5505499815900627E+000                  8.1431876362556963E+000                  5.9523318864753760E-001                  8.7700432775178638E-001                  1.2268070769461159E+000                  7.5400000000000000E-001                  2.4397403348928112E-001                  3.4416106108120406E-004                  9.3604466091399717E-004                  3.4416106108120401E-004                  9.3604466091399738E-004                  1.5079999999999753E+001                  4.8794806697855435E+000                  0.0000000000000000E+000                 -2.1681144369469575E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.3609482781145211E-001                                        0                                        0 
                                       2                  2.2000000000000003E-005                  1.9999999999999307E+001                 -4.9208187539523749E+000                  3.4599708446224149E+001                 -7.5022482378238653E+000                                      486                  1.2682506575447644E-003                  9.9988930339994497E-001                  1.6595344540211404E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994497E-001                  1.6595344540211404E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681143508948697E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681143508948697E+001                  3.6092686603580875E+000                  3.9319865706682831E+004                  4.5946120258705196E+000                  2.6020275286717109E+000                  5.3486429173366945E-001                  3.4266069525922647E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787104673568328E+000                 -5.5505493388667100E+000                  8.1431878222822238E+000                  5.9523318864595831E-001                  8.7700432775178638E-001                  1.2268070769461157E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399738E-004                  3.4416106108120401E-004                  9.3604466091399717E-004                  1.5079999999999488E+001                  4.8794806697854520E+000                  0.0000000000000000E+000                 -2.1681143508948697E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.3741881191128869E-001                                        0                                        0 
                                       4                  5.3680000000000001E-005                  1.9999999999998312E+001                 -4.7624562618571247E+000                  3.4599708446224128E+001                 -7.5024278322331774E+000                                      487                  1.2673514321898966E-003                  9.9988930339994497E-001                  1.6595393796829290E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994497E-001                  1.6595393796829290E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681141238981468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681141238981468E+001                  3.6092136606155263E+000                  3.9300406427876180E+004                  4.5943970416851263E+000                  2.6020300360641362E+000                  5.3485927694879687E-001                  3.4265673858968153E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787098566453682E+000                 -5.5505477226467947E+000                  8.1431883126553632E+000                  5.9523318864125174E-001                  8.7700432775178638E-001                  1.2268070769461159E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399738E-004                  3.4416106108120406E-004                  9.3604466091399728E-004                  1.5079999999998716E+001                  4.8794806697852060E+000                  0.0000000000000000E+000                 -2.1681141238981468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.4063058082154362E-001                                        0                                        0 
                                       6                  9.9299199999999986E-005                  1.9999999999996877E+001                 -4.6040937697618753E+000                  3.4599708446224099E+001                 -7.5026786755193839E+000                                      486                  1.2659950214585821E-003                  9.9988930339994497E-001                  1.6595460435608631E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994497E-001                  1.6595460435608631E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681137940010007E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681137940010007E+001                  3.6091307563614849E+000                  3.9271004712618334E+004                  4.5940720124383398E+000                  2.6020333299488270E+000                  5.3485268917938478E-001                  3.4265154090342311E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787090855260052E+000                 -5.5505455749737713E+000                  8.1431890227963457E+000                  5.9523318863309582E-001                  8.7700432775178638E-001                  1.2268070769461159E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399738E-004                  3.4416106108120411E-004                  9.3604466091399738E-004                  1.5079999999997664E+001                  4.8794806697848667E+000                  0.0000000000000000E+000                 -2.1681137940010007E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.9892099595579862E-001                                        0                                        0 
                                       8                  1.6499084799999998E-004                  1.9999999999994817E+001                 -4.4457312776666260E+000                  3.4599708446224049E+001                 -7.5033544051579879E+000                                      485                  1.2639116156183139E-003                  9.9988930339994497E-001                  1.6595548327347435E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994497E-001                  1.6595548327347435E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681132735572731E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681132735572731E+001                  3.6089055876169591E+000                  3.9190355477202254E+004                  4.5931792027760663E+000                  2.6020372626067405E+000                  5.3484482386351251E-001                  3.4264533534864117E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787081846011914E+000                 -5.5505427519106822E+000                  8.1431901194549710E+000                  5.9523318861708319E-001                  8.7700432775178649E-001                  1.2268070769461157E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399717E-004                  3.4416106108120401E-004                  9.3604466091399728E-004                  1.5079999999996112E+001                  4.8794806697843640E+000                  0.0000000000000000E+000                 -2.1681132735572731E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.4441928845633382E-001                                        0                                        0 
                                      10                  2.5958682111999992E-004                  1.9999999999991854E+001                 -4.2873687855713767E+000                  3.4599708446223985E+001                 -7.5040116944934034E+000                                      485                  1.2606339659798197E-003                  9.9988930339994508E-001                  1.6595660189883538E-003                  3.7034987584561030E-005                  7.8132429637278733E-008                  9.9988930339994508E-001                  1.6595660189883538E-003                  3.7034987584561030E-005                  7.8132429637278733E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681126069262440E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681126069262440E+001                  3.6087842890432182E+000                  3.9148124253568312E+004                  4.5927109580710894E+000                  2.6020457374017356E+000                  5.3482787427345846E-001                  3.4263196289082627E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787071498247739E+000                 -5.5505393012675928E+000                  8.1431915561105743E+000                  5.9523318859438468E-001                  8.7700432775178638E-001                  1.2268070769461161E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399728E-004                  3.4416106108120406E-004                  9.3604466091399738E-004                  1.5079999999993834E+001                  4.8794806697836330E+000                  0.0000000000000000E+000                 -2.1681126069262440E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.7615614641670577E-001                                        0                                        0 
                                      12                  3.9580502241279986E-004                  1.9999999999987590E+001                 -4.1290062934761265E+000                  3.4599708446223893E+001                 -7.5044166629554656E+000                                      483                  1.2553165674155002E-003                  9.9988930339994508E-001                  1.6595795381415181E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994508E-001                  1.6595795381415181E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681115376044371E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681115376044371E+001                  3.6086679327233542E+000                  3.9108145141588422E+004                  4.5922672183076436E+000                  2.6020565801597395E+000                  5.3480618875735719E-001                  3.4261485476314602E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787061808867534E+000                 -5.5505350122328281E+000                  8.1431938012472003E+000                  5.9523318855129803E-001                  8.7700432775178649E-001                  1.2268070769461157E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399728E-004                  3.4416106108120406E-004                  9.3604466091399760E-004                  1.5079999999990628E+001                  4.8794806697825903E+000                  0.0000000000000000E+000                 -2.1681115376044371E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.0861594489366891E-001                                        0                                        0 
                                      14                  5.9195923227443165E-004                  1.9999999999981458E+001                 -3.9706438013808771E+000                  3.4599708446223765E+001                 -7.5048913809249482E+000                                      483                  1.2463573782606717E-003                  9.9988930339994508E-001                  1.6595945991173485E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                  9.9988930339994508E-001                  1.6595945991173485E-003                  3.7034987584450008E-005                  7.8132429526256431E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681101801825907E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681101801825907E+001                  3.6085306662530661E+000                  3.9062136340794234E+004                  4.5917559915285588E+000                  2.6020754997107733E+000                  5.3476834965515729E-001                  3.4258500480122223E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787053377015047E+000                 -5.5505301494496839E+000                  8.1431967165237058E+000                  5.9523318849048046E-001                  8.7700432775178638E-001                  1.2268070769461161E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399728E-004                  3.4416106108120406E-004                  9.3604466091399738E-004                  1.5079999999986002E+001                  4.8794806697810964E+000                  0.0000000000000000E+000                 -2.1681101801825907E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.9564777909198209E-001                                        0                                        0 
                                      16                  8.7442129447518155E-004                  1.9999999999972630E+001                 -3.8122813092856278E+000                  3.4599708446223573E+001                 -7.5053627047193032E+000                                      483                  1.2305817360404952E-003                  9.9988930339994508E-001                  1.6596089929957383E-003                  3.7034987584338985E-005                  7.8132429415234128E-008                  9.9988930339994508E-001                  1.6596089929957383E-003                  3.7034987584338985E-005                  7.8132429415234128E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1681082431983569E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1681082431983569E+001                  3.6084108229696628E+000                  3.9024191691762790E+004                  4.5913339162842908E+000                  2.6021041486554464E+000                  5.3471105176561906E-001                  3.4253980942400211E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4787049251236288E+000                 -5.5505245707819606E+000                  8.1432008642858467E+000                  5.9523318839473693E-001                  8.7700432775178638E-001                  1.2268070769461159E+000                  7.5400000000000000E-001                  2.4397403348928115E-001                  3.4416106108120406E-004                  9.3604466091399728E-004                  3.4416106108120411E-004                  9.3604466091399738E-004                  1.5079999999979361E+001                  4.8794806697789470E+000                  0.0000000000000000E+000                 -2.1681082431983569E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.1153296242198486E-001                                        0                                        0 
