                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      4.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                      60                  2.7179227582655558E+006                  3.6576617933875553E+001                  5.6313653842318141E+000                  3.4861881996409160E+001                 -5.0969100130080562E+000                                      618                  2.0170579467329176E+001                  5.4651998413899383E-001                  8.5444503472587030E-008                  6.7294316571697022E-001                  6.4252758455535719E-001                  5.5146103184811213E-001                  8.5444503472587030E-008                  7.4902596183944081E-001                  5.9581026136656734E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3428250046672435E+034                  3.4000431992330172E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4742455581973779E+000                 -2.4429362453882280E+001                 -9.8999999999999986E+001                  5.4742455581973779E+000                  4.5721260083265820E+000                  2.9797652522359689E+005                  5.4741820514338784E+000                  1.1160978455164017E+000                  3.7688972082292969E+000                  5.8735031801000341E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6052650657673020E+000                  4.5566476519303217E-001                  1.6255364270272079E+001                  8.4239431267489029E-001                  6.7863103374423250E-001                  1.9443893646769923E+000                  3.5726206642734648E-001                  6.2327588779302778E-001                  1.8320188454745405E-004                  7.1224240839129677E-004                  3.4416086221759931E-003                  9.3604466091041384E-003                  1.7988144197551474E+001                  1.7868088101574969E+001                  0.0000000000000000E+000                  1.3114168150800321E+000                  5.4742157063993915E+000                 -2.4429362453882280E+001                  2.1930962833003101E-008                                        0                                        0 
                                      61                  3.0602609648780003E+006                  3.3837912280975992E+001                  5.5344553712237579E+000                  3.4828082010813063E+001                 -5.0969100130080562E+000                                      685                  1.8156801336193237E+001                  5.3589672755831708E-001                  9.2360040837569102E-008                  7.0953741169077411E-001                  6.9609713309606402E-001                  5.3658160661410459E-001                  9.2360040837569102E-008                  7.1113792543958609E-001                  6.6064181192513727E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1510642744021659E+034                  3.1096625921560412E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4617423237177354E+000                 -2.4078523131550639E+001                 -9.8999999999999986E+001                  5.4617423237177354E+000                  4.5427758197695329E+000                  2.8942789013872942E+005                  5.4615403787171264E+000                  1.1684773862721229E+000                  3.6303381411217552E+000                  4.2691178239627543E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6098484491287159E+000                  4.8618795639602325E-001                  1.6268443525236030E+001                  8.9159574674493469E-001                  6.5131965537838055E-001                  2.1126588207610606E+000                  3.0263931012258388E-001                  6.7791456338118583E-001                  1.8719118036723701E-004                  5.9021745131807805E-004                  3.4410884379226731E-003                  9.3604465828211088E-003                  1.5024534745182512E+001                  1.8148154556860746E+001                  0.0000000000000000E+000                  1.1672373746645053E+000                  5.4617202797186568E+000                 -2.4078523131550639E+001                  3.5593585081420153E-008                                        0                                        0 
                                      62                  3.3341315301679564E+006                  3.1646947758656349E+001                  5.4375453582157016E+000                  3.4799010280695725E+001                 -5.0969100130080562E+000                                      682                  1.6770734804978613E+001                  5.2814824214132905E-001                  9.8754261435018975E-008                  9.9969035649663518E-001                  9.9903096286031989E-001                  5.2993214173051917E-001                  9.8754261435018975E-008                  9.9969732319733573E-001                  9.9902072088375449E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0246527972540928E+034                  2.9065773671297440E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4579109389512075E+000                 -2.3725723425794225E+001                 -9.8999999999999986E+001                  5.4579109389512075E+000                  4.5151001735775242E+000                  2.8681487408951297E+005                  5.4576016698949825E+000                  1.2218593242450686E+000                  3.4945025350585297E+000                  3.1225006327932401E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6149506568239991E+000                  5.1340129610619833E-001                  1.6281974634272562E+001                  9.3963065935025891E-001                  6.2781601493073569E-001                  2.2826661725036970E+000                  2.5563202948209501E-001                  7.2493173531459643E-001                  1.9089339508481968E-004                  5.1602950911345603E-004                  3.4335656287107367E-003                  9.3604459414649652E-003                  1.2670906709361063E+001                  1.8354873341783470E+001                  0.0000000000000000E+000                  1.0288544933890196E+000                  5.4578947679856835E+000                 -2.3725723425794225E+001                  5.8480759858844542E-008                                        0                                        0 
                                      64                  3.7285051441854932E+006                  2.8491958846516059E+001                  5.2437253321995891E+000                  3.4753400758942810E+001                 -5.0969100130080562E+000                                      679                  1.5044889483808566E+001                  5.2763829037698362E-001                  5.4844788932584265E-008                  9.9929058089099454E-001                  9.9841029463807784E-001                  5.2803984327136655E-001                  5.4844788932584265E-008                  9.9931905651238939E-001                  9.9839398021414472E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8482321520306070E+034                  2.6334634445431440E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4594373787110548E+000                 -2.3059630351621745E+001                 -9.8999999999999986E+001                  5.4594373787110548E+000                  4.4642250818255365E+000                  2.8776309592873702E+005                  5.4590350972372477E+000                  1.3243262214201759E+000                  3.2439592189554030E+000                  1.7537158169933900E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6254790407351321E+000                  5.5907988266078035E-001                  1.6308705421878045E+001                  1.0304883755926211E+000                  5.9100828646137948E-001                  2.6118159779570673E+000                  1.8201657278302938E-001                  7.9855820143672795E-001                  1.9769750096291740E-004                  4.3703201465954410E-004                  3.2761989178138706E-003                  9.3604222296403659E-003                  9.3091894776565915E+000                  1.8624982572353638E+001                  0.0000000000000000E+000                  7.6238394158317280E-001                  5.4594286543177386E+000                 -2.3059630351621745E+001                  1.4652607353834640E-007                                        0                                        0 
                                      66                  3.9809042571567162E+006                  2.6472765942746271E+001                  5.0499053061834758E+000                  3.4721477770437872E+001                 -5.0969100130080562E+000                                      693                  1.3896862945929559E+001                  5.2359411890862573E-001                  5.9028040011455118E-008                  1.0000000000000000E+000                  9.9999635719357927E-001                  5.2494941314348753E-001                  5.9028040011455118E-008                  9.9978480978943962E-001                  9.9970235732817214E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7526498548609924E+034                  2.4750902762002747E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4665480398227855E+000                 -2.2450251014936061E+001                 -9.8999999999999986E+001                  5.4665480398227855E+000                  4.4339150077798868E+000                  2.9249017969026655E+005                  5.4661112892970918E+000                  1.3884844655413981E+000                  3.0837197422080194E+000                  1.2126060821039985E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6358517429989279E+000                  5.9678580872640896E-001                  1.6336119208816683E+001                  1.1058541159222905E+000                  5.6496587180956115E-001                  2.9085560111211515E+000                  1.2993174356501777E-001                  8.5064892169672046E-001                  2.0402566317462176E-004                  3.9834329802503684E-004                  1.6346897361850688E-003                  7.7253427356351002E-003                  7.1589409409917248E+000                  1.8796670148748767E+001                  0.0000000000000000E+000                  5.0751174958885237E-001                  5.4665432672736616E+000                 -2.2450251014936061E+001                  3.0588254918249681E-007                                        0                                        0 
                                      68                  4.1424396894582990E+006                  2.5180482484333606E+001                  4.8560852801673633E+000                  3.4699742497947440E+001                 -5.0969100130080562E+000                                      704                  1.3143509418699043E+001                  5.1934100898626856E-001                  6.2057408656279733E-008                  1.0000000000000000E+000                  9.9999335494561525E-001                  5.2197210386562143E-001                  6.2057408656279733E-008                  9.9951084249859168E-001                  9.9945452107147326E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6874866030671806E+034                  2.3826404414979068E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4736506582300786E+000                 -2.1906391745257842E+001                 -9.8999999999999986E+001                  5.4736506582300786E+000                  4.4129161004886353E+000                  2.9732319638160610E+005                  5.4732287930513737E+000                  1.4340410320010435E+000                  2.9708713367982975E+000                  9.3512859380681914E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6455911153931693E+000                  6.2943643591871679E-001                  1.6364215462112114E+001                  1.1631211175092555E+000                  5.4694296199743575E-001                  3.1567670975463478E+000                  9.3885923973020896E-002                  8.8669846771603200E-001                  2.0985826458658135E-004                  3.7630943962226390E-004                  9.4781398160179002E-004                  6.5824273675218368E-003                  5.8098203903116703E+000                  1.8879517635685023E+001                  0.0000000000000000E+000                  2.7006499943256945E-001                  5.4736479405394842E+000                 -2.1906391745257842E+001                  5.5104452944343716E-007                                        0                                        0 
                                      70                  4.2458223661313122E+006                  2.4353421070949501E+001                  4.6622652541512508E+000                  3.4685238428343872E+001                 -5.0969100130080562E+000                                      718                  1.2632618740860629E+001                  5.1489239121711994E-001                  6.4164926705245762E-008                  1.0000000000000000E+000                  9.9998950236728745E-001                  5.1872049943445997E-001                  6.4164926705245762E-008                  9.9987744350169483E-001                  9.9986198271762272E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6551888294291030E+034                  2.3209180914176263E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4793227296418259E+000                 -2.1431988584286760E+001                 -9.9339898569113778E+000                  5.4793227296418259E+000                  4.4004739446616563E+000                  3.0126861731581349E+005                  5.4789538942474767E+000                  1.4617878942530520E+000                  2.9008735426907100E+000                  7.9592755950844059E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6543757480859771E+000                  6.5766932437057890E-001                  1.6391521314780942E+001                  1.2046184526625185E+000                  5.3472198596024112E-001                  3.3506565452669652E+000                  6.9443971910729860E-002                  9.1114302538294067E-001                  2.1511613541423034E-004                  3.6247539139082797E-004                  8.8300718534943231E-004                  6.3779621067236534E-003                  4.9510518023952130E+000                  1.8927853612827832E+001                  0.0000000000000000E+000                  5.6898176797096627E-002                  5.4793210876893630E+000                 -2.1431988584286760E+001                  8.9831842307469768E-007                                        0                                        0 
                                      72                  4.3239357987083383E+006                  2.3728513610333295E+001                  4.5758950385651733E+000                  3.4673948984772117E+001                 -5.0969100130080562E+000                                      732                  1.2149473575678721E+001                  5.0967295559840564E-001                  6.5854755981753499E-008                  1.0000000000000000E+000                  9.9998670003573698E-001                  5.1202000155575977E-001                  6.5854755981753499E-008                  9.9987270726102062E-001                  9.9983796219757903E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6380277633988982E+034                  2.2773673376157118E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4843610080937921E+000                 -2.0942177771708710E+001                 -1.0235019852575359E+001                  5.4843610080937921E+000                  4.3961017384013381E+000                  3.0485971590020938E+005                  5.4841000405736446E+000                  1.4731053799367726E+000                  2.8669491277515124E+000                  7.3612086495322774E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6636997347023526E+000                  6.8698691144751645E-001                  1.6422404042477744E+001                  1.2392713702320612E+000                  5.2503659551689708E-001                  3.5221007956915971E+000                  5.0073191029643443E-002                  9.3051610246850425E-001                  2.2071318486750058E-004                  3.5156862425425979E-004                  8.5088272497690605E-004                  6.2373142434576029E-003                  4.3039064378503440E+000                  1.8962645793622830E+001                  0.0000000000000000E+000                 -1.6308614678445355E-001                  5.4843600300965152E+000                 -2.0942177771708710E+001                  1.1343945261840066E-006                                        0                                        0 
                                      74                  4.3951366450389568E+006                  2.3158906839688346E+001                  4.5454126139085149E+000                  3.4663396506276385E+001                 -5.0969100130080562E+000                                      739                  1.1862370406832932E+001                  5.1117001236110049E-001                  6.7474491660668434E-008                  1.0000000000000000E+000                  9.9998483722212583E-001                  5.1600351436531977E-001                  6.7474491660668434E-008                  1.0000000000000000E+000                  9.9998427289930025E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6110155877361112E+034                  2.2443092884254611E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4897658282734367E+000                 -2.0289571742702968E+001                 -9.8999999999999986E+001                  5.4897658282734367E+000                  4.4020210600003100E+000                  3.0882383944562316E+005                  5.4897108180240153E+000                  1.4640721254640130E+000                  2.8744631582013005E+000                  7.4896781984465918E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6764672686303133E+000                  7.2655705707912166E-001                  1.6467278630785064E+001                  1.2738301103988270E+000                  5.1585612117185364E-001                  3.7016278566791483E+000                  3.1712242342443089E-002                  9.4887971388295300E-001                  2.2843958378273660E-004                  3.4056873972929157E-004                  8.3716496824750946E-004                  6.1766090093887714E-003                  3.7112214680212752E+000                  1.8997170688390490E+001                  0.0000000000000000E+000                 -4.4027252550058743E-001                  5.4897653180666719E+000                 -2.0289571742702968E+001                  1.2249311618034899E-006                                        0                                        0 
