                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      4.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                      61                  3.1325887948249909E+006                  3.5231340579566485E+001                  5.6176984657019338E+000                  3.4845607619294405E+001                 -4.9393021596463882E+000                                      622                  1.9127600491028900E+001                  5.4258395167507767E-001                  8.8707125645015594E-008                  8.8183828759023131E-001                  8.1838782787227116E-001                  5.4291435342436400E-001                  8.8707125645015594E-008                  7.9786276952446233E-001                  6.0289986103563242E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2264924205225288E+034                  3.2100385245978280E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4944990042114439E+000                 -2.3839812103088491E+001                 -9.8999999999999986E+001                  5.4944990042114439E+000                  4.5439900599250826E+000                  3.1214130079724698E+005                  5.4943512358926556E+000                  1.1824543345487892E+000                  3.6199098530497675E+000                  4.1678286244556411E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6139053588173669E+000                  4.8335179566858838E-001                  1.6268947984779551E+001                  9.1292082689270615E-001                  6.4046935978609443E-001                  2.1878827247152119E+000                  2.8093871908549006E-001                  6.9961970643588534E-001                  1.8979932254586848E-004                  5.5728237282465709E-004                  3.4415605091941328E-003                  9.3604466075079395E-003                  1.5554290913625021E+001                  1.8983964489488912E+001                  0.0000000000000000E+000                  1.1230875691285662E+000                  5.4944805378169361E+000                 -2.3839812103088491E+001                  3.4984080172143038E-008                                        0                                        0 
                                      62                  3.4643216240725392E+006                  3.1416413043219684E+001                  5.5207884526938775E+000                  3.4795835048690506E+001                 -4.9393021596463882E+000                                      687                  1.6961857604205441E+001                  5.3950829755065821E-001                  9.9478923765161653E-008                  7.5647008227067714E-001                  7.4194009874747302E-001                  5.3990433538262139E-001                  9.9478923765161653E-008                  7.5854791259016630E-001                  7.0754751256352166E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9988008179890870E+034                  2.8661052913721064E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4768548740439398E+000                 -2.3396725534436275E+001                 -9.8999999999999986E+001                  5.4768548740439398E+000                  4.4956107391339417E+000                  2.9958462310211797E+005                  5.4765195183956497E+000                  1.2702971173825679E+000                  3.3944517167783128E+000                  2.4800002053012581E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6203219354505229E+000                  5.2610653162935284E-001                  1.6290735154518000E+001                  9.7838967236972307E-001                  6.1104888949897773E-001                  2.4216899738261564E+000                  2.2209777875297312E-001                  7.5847100344650775E-001                  1.9428487690222040E-004                  4.8041548858564085E-004                  3.4311785011533103E-003                  9.3604457100503833E-003                  1.1817330138886227E+001                  1.8982606997121319E+001                  0.0000000000000000E+000                  9.2437142545968853E-001                  5.4768427035852119E+000                 -2.3396725534436275E+001                  6.7137432492429082E-008                                        0                                        0 
                                      64                  3.9420168981890082E+006                  2.5922917390880286E+001                  5.3269684266777650E+000                  3.4712362326441728E+001                 -4.9393021596463882E+000                                      679                  1.4615648043682219E+001                  5.6337446311996908E-001                  6.0280078262309189E-008                  9.9923591768473663E-001                  9.9767587042967620E-001                  5.6381185123955302E-001                  6.0280078262309189E-008                  9.9926063340422400E-001                  9.9762381771435404E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7536517292545632E+034                  2.4735547070575323E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4751976452975137E+000                 -2.2394072590763862E+001                 -9.8999999999999986E+001                  5.4751976452975137E+000                  4.4242461123961379E+000                  2.9833152203317167E+005                  5.4746991438139476E+000                  1.4121161835673242E+000                  3.0273408621600222E+000                  1.0649785537548839E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6369028506422243E+000                  6.0032863317965468E-001                  1.6339756158060712E+001                  1.1093022364044129E+000                  5.6382622721152886E-001                  2.9230903329125750E+000                  1.2765245437214881E-001                  8.5292798404128156E-001                  2.0456672794484572E-004                  4.0087956958903835E-004                  1.2178770743182107E-003                  6.8674707998148659E-003                  6.5400944010190942E+000                  1.8876697437623537E+001                  0.0000000000000000E+000                  4.9345645050778519E-001                  5.4751931158484384E+000                 -2.2394072590763862E+001                  2.5085343200163012E-007                                        0                                        0 
                                      66                  4.2477418736235490E+006                  2.2407080173383072E+001                  5.1331484006616517E+000                  3.4649063718643490E+001                 -4.9393021596463882E+000                                      702                  1.3208319415517455E+001                  5.8784447695336994E-001                  6.9738469998803509E-008                  9.9930299561516545E-001                  9.9648435630432253E-001                  5.8947079732447050E-001                  6.9738469998803509E-008                  9.9932262329956456E-001                  9.9644510722287072E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6265039944567353E+034                  2.2742197134445938E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4861078589288068E+000                 -2.1164712759857508E+001                 -9.8999999999999986E+001                  5.4861078589288068E+000                  4.4283338564071997E+000                  3.0607504833106889E+005                  5.4858279267426555E+000                  1.4095050870095547E+000                  2.9692644474773200E+000                  9.3167501163994052E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6593802917490859E+000                  6.7791592886977592E-001                  1.6410664622619827E+001                  1.2231563269280847E+000                  5.2947398800306666E-001                  3.4414261515936384E+000                  5.8947975999639746E-002                  9.2163995168264545E-001                  2.1807191273094968E-004                  3.5897340331684461E-004                  9.2435888048482070E-004                  6.1110029154704329E-003                  3.2955059595259675E+000                  1.8676015680442546E+001                  0.0000000000000000E+000                 -7.3553805415867604E-002                  5.4861066618486118E+000                 -2.1164712759857508E+001                  5.2374318104843705E-007                                        0                                        0 
                                      68                  4.4434058579016551E+006                  2.0156944354184855E+001                  4.9393283746455392E+000                  3.4603103147445943E+001                 -4.9393021596463882E+000                                      714                  1.2152472561007098E+001                  6.0235283135321993E-001                  7.7523430674908411E-008                  1.0000000000000000E+000                  9.9999879352454224E-001                  6.0289259857405331E-001                  7.7523430674908411E-008                  9.9986355354091327E-001                  9.9984369547595497E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5440734836270894E+034                  2.1433978461659403E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4903096791581696E+000                 -1.8756886293747634E+001                 -9.8999999999999986E+001                  5.4903096791581696E+000                  4.5950011793801382E+000                  3.0976443677896768E+005                  5.4910315561048737E+000                  1.0787722557447872E+000                  3.5847695388093079E+000                  3.8438775005575703E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7075687236700459E+000                  8.3449713192531683E-001                  1.6591547850302362E+001                  1.3175371305177266E+000                  5.0504933068060709E-001                  3.9378983705053732E+000                  1.0098661361214185E-002                  9.7049862824384525E-001                  2.4766939349376134E-004                  3.2354147934290348E-004                  1.7201497233894372E-004                  6.9106523377074249E-004                  1.6004701589451906E+000                  1.8165156225963539E+001                  0.0000000000000000E+000                 -1.3602998943375522E+000                  5.4903096178984834E+000                 -1.8756886293747634E+001                  1.6816675938129818E-007                                        0                                        0 
                                      70                  4.4747120953861531E+006                  1.9796922623113140E+001                  4.1434483573014642E+000                  3.4595276136191814E+001                 -4.9393021596463882E+000                                      713                  1.1633150325000116E+001                  5.8503183612548570E-001                  7.8933251934643067E-008                  1.0000000000000000E+000                  9.9999948863222876E-001                  5.8827574552127848E-001                  7.8933251934643067E-008                  9.9987141587906725E-001                  9.9985504438590111E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5620507776200186E+034                  2.1493014986861667E+034                  2.4356434057315630E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6082584871268326E+034                  1.2129617180967074E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4898022282012100E+000                 -1.6569104296527396E+001                 -9.8999999999999986E+001                  5.4898022282012100E+000                  4.6239478743966345E+000                  3.1373502633208904E+005                  5.4965630073607139E+000                  1.0236445913397136E+000                  3.6871978563653305E+000                  4.8662885411530915E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7550098296565713E+000                  9.7991776256604257E-001                  1.6779687850512119E+001                  1.3358556448381869E+000                  5.0088549778342906E-001                  4.0371680924531859E+000                  1.7709955668394495E-003                  9.7883256821796316E-001                  2.7785130852678894E-004                  3.1359059492327290E-004                  1.6904815482572471E-004                  6.9106613185583880E-004                  1.3765527558048065E+000                  1.8036128979887120E+001                  0.0000000000000000E+000                 -1.0962822740169669E+000                  5.4898021155593364E+000                 -1.6569104296527396E+001                  4.2628356926085704E-007                                        2                                        0 
                                      72                  4.4798201379261985E+006                  1.9738180133902624E+001                  3.3664726180165250E+000                  3.4593985558658829E+001                 -4.9393021596463882E+000                                      726                  1.1403986178083587E+001                  5.7701592142463010E-001                  7.9168163913401202E-008                  1.0000000000000000E+000                  9.9999964677783693E-001                  5.7776279782227302E-001                  7.9168163913401202E-008                  9.9964756707946179E-001                  9.9950353943787651E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5734076718296939E+034                  2.1649751975255183E+034                  2.2981194912775929E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8421573958790925E+034                  1.2129617180967074E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4682501982356309E+000                 -1.4917036147273432E+001                 -9.8999999999999986E+001                  5.4682501982356309E+000                  4.6466321513043916E+000                  3.1889720023149130E+005                  5.5036507063569395E+000                  9.8181988702231127E-001                  3.7695566874671464E+000                  5.8824289113367704E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7929379865023582E+000                  1.0950166501908429E+000                  1.6931598077866596E+001                  1.3388432586552872E+000                  5.0021689263412450E-001                  4.0535633075086199E+000                  4.3378526824895539E-004                  9.8017400366486040E-001                  3.0140444577386602E-004                  3.1119359131997592E-004                  1.6776775568383474E-004                  6.9106652824732679E-004                  1.3406536528914912E+000                  1.8014475346134127E+001                  0.0000000000000000E+000                 -6.6327487412674724E-001                  5.4682498774171338E+000                 -1.4917036147273432E+001                  1.3450753828032590E-006                                        4                                        0 
                                      74                  4.4831685207858467E+006                  1.9699673731016649E+001                  3.1726525920004121E+000                  3.4593137483930278E+001                 -4.9393021596463882E+000                                      761                  1.0957041142124664E+001                  5.5444314469582889E-001                  7.9322911572532462E-008                  1.0000000000000000E+000                  9.9999980095017293E-001                  5.5620419361936302E-001                  7.9322911572532462E-008                  9.9999018253335037E-001                  9.9998864516140640E-001                  2.1852021319261946E+034                  2.2661800626782147E+034                  3.1173781993376537E+034                  3.3226645902681812E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2189403342609536E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9640207746921190E+000                 -7.0422040681664875E+000                 -4.9809929030321909E+000                  4.9640207747418383E+000                  4.7052083506199391E+000                  3.5465865430069447E+005                  5.5498105618700952E+000                  8.8774741614779473E-001                  3.9568535544876320E+000                  9.0542723640602653E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9580982823692707E+000                  1.6103075364235075E+000                  1.7603330796312608E+001                  1.3398115199244476E+000                  4.9999999999999978E-001                  4.0588757918681591E+000                  0.0000000000000000E+000                  9.8061759194085163E-001                  3.5892866735350818E-004                  3.0973068939480961E-004                  1.6752046926748706E-004                  6.9106660573558501E-004                  1.3208652650978800E+000                  1.7996613830126719E+001                  0.0000000000000000E+000                  5.2497357805507827E-001                  4.9640049714928534E+000                 -7.0422040681664875E+000                  1.2494425190771200E-006                                        4                                        0 
                                      76                  4.4853114858160224E+006                  1.9675029633169633E+001                  2.9788325659842991E+000                  3.4592593845696108E+001                 -4.9393021596463882E+000                                      819                  4.2259025975718476E+000                  2.0874205767192922E-001                  7.9422267984519124E-008                  9.9992868830716997E-001                  9.9990366905899153E-001                  2.1478506901191682E-001                  7.9422267984519124E-008                  5.3297225465639531E-001                  3.5998207118769154E-001                  2.1768194564458164E+034                  2.2158434213147617E+034                  3.1154364072368888E+034                  3.2928139964363858E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.2237214182046495E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4871606053856867E+000                 -2.6995634261229862E+000                 -1.4301948894717746E+000                  5.4871606607435464E+000                  4.6552624751092493E+000                  3.8809252947270573E+005                  5.5889352829358225E+000                  1.0072015277020379E+000                  3.7174016931449732E+000                  5.2167700411901760E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0481245018523051E+000                  1.9285178169763051E+000                  1.7991685843104577E+001                  1.3398115201157386E+000                  5.0000000000000000E-001                  4.0588757936237325E+000                  1.0713688922845009E-099                  9.8061759149253036E-001                  3.5892787585489934E-004                  3.0973070383308673E-004                  1.6719402647240775E-004                  6.9106670802783780E-004                  1.3062825287516642E+000                  1.7987041820628445E+001                  0.0000000000000000E+000                  1.5950300462338143E-001                  5.4871585630471520E+000                 -2.6995634261229862E+000                  4.0636699361393098E-006                                        4                                        0 
