                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      4.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  9.8821176880261898E+000                  3.9999984838107224E+001                  9.9485002168009418E-001                  3.4900738277269959E+001                 -5.8140966007167929E+000                                     1210                  2.4139047218871596E+001                  6.0226258018600132E-001                  7.8131803138425937E-008                  6.4643973867047944E-001                  6.0685217068775399E-001                  1.0000000000000000E+000                  7.8131803138425937E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2847039877727925E+034                  3.6626070376593998E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1084658255791213E+000                 -2.6972297112714742E+001                 -1.0837079843903322E+001                  5.1084658255791213E+000                  4.5867694828661882E+000                  1.8276134984660675E+005                  5.2618843570263012E+000                  9.8066204923340039E-001                  4.0786250816560958E+000                  1.1984642445616273E+004                  8.0315130571210114E-005                  7.6850477805947692E-001                  5.2918576664624970E+002                  7.6850477805947692E-001                  7.5752925672938893E+000                  4.0639587003968258E-001                  1.6252244292518256E+001                  6.2036822342561482E-001                  8.4956572074975834E-001                  1.2979736766422407E+000                  6.9913118044473077E-001                  2.8032385664311593E-001                  1.2623386616377385E-004                  9.2933822653205479E-003                  3.4416106108119985E-003                  9.3604466091399777E-003                  2.7978730103284772E+001                  1.1207458007157978E+001                  0.0000000000000000E+000                  2.8914920681256091E+000                  5.1058226166789025E+000                 -2.6972297112714742E+001                  9.5447873247098434E-005                                        0                                        0 
                                       2                  1.7787811838447141E+001                  3.9999980400751710E+001                  8.9794000867203783E-001                  3.4900738229091957E+001                 -6.2508157837454670E+000                                      629                  2.3349128284511469E+001                  5.8352030473902405E-001                  7.8131811798165529E-008                  9.9999999592193223E-001                  9.9999991000057364E-001                  1.0000000000000000E+000                  7.8131811798165529E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3170211809720484E+034                  3.6899454399384556E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1226991744795018E+000                 -2.6920487393986278E+001                 -9.8999999999999986E+001                  5.1226991744795018E+000                  4.5894869830308478E+000                  1.8904725829215505E+005                  5.2765703832736808E+000                  9.8257006202777086E-001                  4.0748090078893586E+000                  1.1879796680853307E+004                  8.5363680044314008E-005                  8.2441587627005364E-001                  5.6471249624084658E+002                  8.2441587627005375E-001                  7.5762638342860713E+000                  4.0884802356995881E-001                  1.6255798286472096E+001                  6.2036842951249282E-001                  8.4956551083138310E-001                  1.2979742480007932E+000                  6.9913076129307639E-001                  2.8032417943712723E-001                  1.2559765502573477E-004                  9.2933212872444351E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  2.7978870337300318E+001                  1.1207402027977023E+001                  0.0000000000000000E+000                  2.9040310909295983E+000                  5.1200662887807296E+000                 -2.6920487393986278E+001                  3.7841828562452168E-005                                        0                                        0 
                                       4                  3.8658844395558461E+001                  3.9999965766552776E+001                  1.0563025007672873E+000                  3.4900738070203055E+001                 -6.1464677791936850E+000                                      625                  2.2987039917734919E+001                  5.7149916593303385E-001                  7.8131840552941867E-008                  9.9999999556222519E-001                  9.9999993150187028E-001                  1.0000000000000000E+000                  7.8131840552941867E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4007608997333727E+034                  3.7623403135699069E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1920090743393903E+000                 -2.6914310201265668E+001                 -9.8999999999999986E+001                  5.1920090743393903E+000                  4.5861997448907221E+000                  1.9218099449495669E+005                  5.2837104364330125E+000                  9.9271456488768706E-001                  4.0545198432806240E+000                  1.1337566392176348E+004                  8.5314652779058269E-005                  8.5602211392099059E-001                  5.7750053802840853E+002                  8.5602211392099059E-001                  7.5763733904189943E+000                  4.0925278294790207E-001                  1.6256293476980950E+001                  6.2036384506338549E-001                  8.4957003369251727E-001                  1.2979604125642328E+000                  6.9913969815294918E-001                  2.8032084578877875E-001                  1.6165086429137889E-004                  9.2939538432440742E-003                  3.4416106108119942E-003                  9.3604466091399725E-003                  2.7978825331640071E+001                  1.1207419242325834E+001                  0.0000000000000000E+000                  3.0683766741029741E+000                  5.1887297032410480E+000                 -2.6914310201265668E+001                  3.9083071554168249E-005                                        0                                        0 
                                       6                  6.8713131277798752E+001                  3.9999941716134359E+001                  1.2146649928625370E+000                  3.4900737809078656E+001                 -6.0821906297742432E+000                                      625                  2.3473044224066999E+001                  5.8590208819399114E-001                  7.8131887515375809E-008                  9.9999999557142027E-001                  9.9999994014849658E-001                  1.0000000000000000E+000                  7.8131887515375809E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4066182936265508E+034                  3.7675249229950735E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1980950806279660E+000                 -2.6900711165318050E+001                 -1.0235019852575359E+001                  5.1980950806279660E+000                  4.5861044906875552E+000                  1.9698933232646427E+005                  5.2944427082062964E+000                  9.9827120918066325E-001                  4.0434062935702686E+000                  1.1051119969250996E+004                  8.5659721163562936E-005                  8.7980451330815246E-001                  5.8709593847682356E+002                  8.7980451330815246E-001                  7.5766140962480621E+000                  4.1002941505053964E-001                  1.6257295393369031E+001                  6.2036403627040071E-001                  8.4956982900889655E-001                  1.2979608504200928E+000                  6.9913927805828502E-001                  2.8032144365332240E-001                  1.6282586521103789E-004                  9.2938408939476740E-003                  3.4416106108119925E-003                  9.3604466091399743E-003                  2.7978757748119776E+001                  1.1207443468508583E+001                  0.0000000000000000E+000                  3.0855496270815945E+000                  5.1947305846014808E+000                 -2.6900711165318050E+001                  3.2465916316284197E-005                                        0                                        0 
                                       8                  1.1199130438822476E+002                  3.9999902680502949E+001                  1.3730274849577866E+000                  3.4900737385253848E+001                 -6.0342476784988159E+000                                      625                  2.3441928683465616E+001                  5.8590265997183111E-001                  7.8131963898719903E-008                  9.9999999558514763E-001                  9.9999994268174397E-001                  1.0000000000000000E+000                  7.8131963898719903E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4001885478919732E+034                  3.7603852104367863E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1928156245363546E+000                 -2.6882595956192496E+001                 -1.0536049848239340E+001                  5.1928156245363546E+000                  4.5863313927745049E+000                  2.0096426218631867E+005                  5.3031188329665850E+000                  1.0021554673869091E+000                  4.0356373533329704E+000                  1.0855188099262958E+004                  8.5732469247831264E-005                  8.9573890135177003E-001                  5.9272674248388989E+002                  8.9573890135177014E-001                  7.5769323760850957E+000                  4.1108518291230922E-001                  1.6258640334518013E+001                  6.2036540236278448E-001                  8.4956845300862482E-001                  1.2979647358495268E+000                  6.9913653400159936E-001                  2.8032322648225999E-001                  1.5666240666734776E-004                  9.2935034238054038E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  2.7978658219207095E+001                  1.1207477719738145E+001                  0.0000000000000000E+000                  3.0802269788823633E+000                  5.1894514644034277E+000                 -2.6882595956192496E+001                  2.5544083392692360E-005                                        0                                        0 
                                      10                  1.7431187366723819E+002                  3.9999840388244543E+001                  1.5313899770530361E+000                  3.4900736708922075E+001                 -5.9906464000393163E+000                                      625                  2.3360133837305344E+001                  5.8352234725069596E-001                  7.8132085579163402E-008                  9.9999999559772812E-001                  9.9999994241976831E-001                  1.0000000000000000E+000                  7.8132085579163402E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3915780646146116E+034                  3.7504643340872471E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1857250979595495E+000                 -2.6854418467045086E+001                 -9.8999999999999986E+001                  5.1857250979595495E+000                  4.5866529512581602E+000                  2.0436929412400792E+005                  5.3104156449154312E+000                  1.0051607563940215E+000                  4.0296260989869710E+000                  1.0705971895864262E+004                  8.5843818974195045E-005                  9.0917339687370069E-001                  5.9750175863745096E+002                  9.0917339687370047E-001                  7.5774279159175997E+000                  4.1270850745581139E-001                  1.6260719710376382E+001                  6.2036740942238966E-001                  8.4956642761660162E-001                  1.2979704262378884E+000                  6.9913249588878645E-001                  2.8032591903176596E-001                  1.4797857566631358E-004                  9.2929935985291024E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  2.7978512358336211E+001                  1.1207526623009013E+001                  0.0000000000000000E+000                  3.0711649344077463E+000                  5.1823762340143285E+000                 -2.6854418467045086E+001                  1.9726938176830752E-005                                        0                                        0 
                                      12                  2.6405349342901752E+002                  3.9999741579580579E+001                  1.6897524691482857E+000                  3.4900735636115030E+001                 -5.9487923618625160E+000                                      623                  2.3126538213007276E+001                  5.7634166929308606E-001                  7.8132278535925082E-008                  9.9999999561697461E-001                  9.9999994170684636E-001                  1.0000000000000000E+000                  7.8132278535925082E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3902370719736294E+034                  3.7479645321107068E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1857867945279699E+000                 -2.6811490873777235E+001                 -9.8999999999999986E+001                  5.1857867945279690E+000                  4.5870359478696958E+000                  2.0740737336572239E+005                  5.3168241915666474E+000                  1.0075990364965572E+000                  4.0247484659748558E+000                  1.0586404058249753E+004                  8.6095033790825859E-005                  9.2210681885508405E-001                  6.0252828519739569E+002                  9.2210681885508405E-001                  7.5781838876809573E+000                  4.1515802917818717E-001                  1.6263872976775382E+001                  6.2036964852980270E-001                  8.4956414820184845E-001                  1.2979766356105664E+000                  6.9912794268950262E-001                  2.8032941168315134E-001                  1.4101757087947537E-004                  9.2923317673342005E-003                  3.4416106108119933E-003                  9.3604466091399743E-003                  2.7978297772484748E+001                  1.1207597383789627E+001                  0.0000000000000000E+000                  3.0750472340558477E+000                  5.1824082243775385E+000                 -2.6811490873777235E+001                  1.5032494348017556E-005                                        0                                        0 
                                      14                  3.9328142588597979E+002                  3.9999584201394242E+001                  1.8481149612435355E+000                  3.4900733927388679E+001                 -5.9045661118663872E+000                                      623                  2.3034344675470091E+001                  5.7150461759394999E-001                  7.8132585845658298E-008                  9.9999999535343831E-001                  9.9999994065864994E-001                  1.0000000000000000E+000                  7.8132585845658298E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3878694369951016E+034                  3.7444962815768390E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1855797779347901E+000                 -2.6748012908289262E+001                 -9.8999999999999986E+001                  5.1855797779347901E+000                  4.5874593822683183E+000                  2.1009593294348239E+005                  5.3224176453745429E+000                  1.0095488946032607E+000                  4.0208470410351005E+000                  1.0491728438132865E+004                  8.6444155077927768E-005                  9.3434175814034626E-001                  6.0761121262619247E+002                  9.3434175814034648E-001                  7.5793042617677315E+000                  4.1874247448462659E-001                  1.6268513240640527E+001                  6.2037307254967167E-001                  8.4956065548466309E-001                  1.2979861045568186E+000                  6.9912097005749507E-001                  2.8033487194962664E-001                  1.3093541823704566E-004                  9.2912950781208186E-003                  3.4416106108119933E-003                  9.3604466091399725E-003                  2.7977977927802176E+001                  1.1207701369050920E+001                  0.0000000000000000E+000                  3.0743899815932783E+000                  5.1822047221928980E+000                 -2.6748012908289262E+001                  1.1361940405473762E-005                                        0                                        0 
                                      16                  5.7936964862400544E+002                  3.9999332381969516E+001                  2.0064774533387850E+000                  3.4900731193256988E+001                 -5.8579416428095472E+000                                      623                  2.2787077109862576E+001                  5.6663047624950691E-001                  7.8133077785480509E-008                  9.9999999543491302E-001                  9.9999994086924648E-001                  1.0000000000000000E+000                  7.8133077785480509E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3741771545971395E+034                  3.7307124088354668E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1764767674476673E+000                 -2.6650540969874324E+001                 -9.8999999999999986E+001                  5.1764767674476673E+000                  4.5881518194581101E+000                  2.1262902926401165E+005                  5.3276225564644646E+000                  1.0107664757686381E+000                  4.0184091445726526E+000                  1.0432998491137676E+004                  8.6998778128421475E-005                  9.4648465038834673E-001                  6.1315301849802415E+002                  9.4648465038834650E-001                  7.5810281394646664E+000                  4.2421371526546137E-001                  1.6275620895933830E+001                  6.2037925632165092E-001                  8.4955434342032621E-001                  1.2980032430506898E+000                  6.9910838834577216E-001                  2.8034467854543665E-001                  1.1212086472390530E-004                  9.2894279408965667E-003                  3.4416106108119942E-003                  9.3604466091399708E-003                  2.7977507106718125E+001                  1.1207858640211345E+001                  0.0000000000000000E+000                  3.0379450069401717E+000                  5.1733083983248394E+000                 -2.6650540969874324E+001                  8.5199729800740760E-006                                        0                                        0 
