                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      5.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  5.6568542494923850E+000                  5.0000000000000000E+001                  7.5257498915995336E-001                  3.4997648454896201E+001                 -9.8999999999999986E+001                                     1210                  3.3041704424474695E+001                  6.5998222334758028E-001                  7.8131778203311138E-008                  6.7311390763615497E-001                  6.7140232428785929E-001                  6.7311390763615497E-001                  7.8131778203311138E-008                  9.9883690180903917E-001                  9.9870589334401516E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5008426348560869E+034                  5.1745293268298904E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5851378646925820E+000                 -2.5284629226448470E+001                 -9.8999999999999986E+001                  5.5851378646925820E+000                  4.6639891472978920E+000                  3.6908870200585417E+005                  5.5671307514226660E+000                  9.7884591756817441E-001                  4.1791675226127953E+000                  1.5106627573975993E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075279934766797E+000                  3.9692288299218909E-001                  1.6307835553216222E+001                  6.2015668541100699E-001                  8.4954446386903959E-001                  1.2980291140427642E+000                  6.9908878604706048E-001                  2.8036229452423533E-001                  9.2545247545364147E-005                  9.2829809699533378E-003                  3.4416106108119981E-003                  9.3604466091399795E-003                  3.4969698838423611E+001                  1.4011548133108668E+001                  0.0000000000000000E+000                  3.0992482129431194E+000                  5.5837168290088828E+000                 -2.5284629226448470E+001                 -2.0006783392330126E-005                                        0                                        0 
                                       2                  1.2445079348883246E+001                  5.0000000000000000E+001                  8.3175623520757813E-001                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      641                  3.3068331795477221E+001                  6.6101098167090577E-001                  7.8131772777529786E-008                  6.7905427080272829E-001                  6.7638060706507908E-001                  6.6508865149209728E-001                  7.8131772777529786E-008                  6.7967588606102913E-001                  6.7510631590008341E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5062097097704824E+034                  5.1842596949921098E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5832631649994644E+000                 -2.5286134642633165E+001                 -9.8999999999999986E+001                  5.5832631649994644E+000                  4.6625175410469195E+000                  3.6937498279142822E+005                  5.5674674779922659E+000                  9.8195749335492111E-001                  4.1729443710393017E+000                  1.4891703170489975E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075833348176483E+000                  3.9667151628198477E-001                  1.6307779984144450E+001                  6.2015536614894273E-001                  8.4954406318067921E-001                  1.2980301497418785E+000                  6.9908798569087116E-001                  2.8036304122444616E-001                  9.2088697631693140E-005                  9.2828259773032988E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4969671828575031E+001                  1.4011573084197911E+001                  0.0000000000000000E+000                  3.0952746055465239E+000                  5.5818489916562610E+000                 -2.5286134642633165E+001                  4.8244658666435873E-006                                        0                                        0 
                                       4                  3.0365993611275119E+001                  5.0000000000000000E+001                  9.9011872730282768E-001                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2986033411653771E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996271462888E-001                  6.6508865696224428E-001                  7.8131772777529733E-008                  9.9847146154516808E-001                  9.9775557979570817E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5017702916787276E+034                  5.1791631056027080E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5799815505446668E+000                 -2.5287378059233120E+001                 -9.8999999999999986E+001                  5.5799815505446659E+000                  4.6614642781145195E+000                  3.6998568591474212E+005                  5.5681849223143116E+000                  9.8442274138074293E-001                  4.1680138749876576E+000                  1.4723595411241609E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075603893078494E+000                  3.9659578265434675E-001                  1.6307682702596736E+001                  6.2015711035338739E-001                  8.4954299016504042E-001                  1.2980329267884303E+000                  6.9908584270877661E-001                  2.8036503250764799E-001                  9.0813879507563295E-005                  9.2824129913561572E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4969600966496273E+001                  1.4011638918216411E+001                  0.0000000000000000E+000                  3.0852897835321755E+000                  5.5785890717262223E+000                 -2.5287378059233120E+001                  5.7539681325728542E-007                                        0                                        0 
                                       6                  5.6172110149119412E+001                  5.0000000000000000E+001                  1.1484812193980773E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2997136677206583E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996553152060E-001                  6.6508865696224428E-001                  7.8131772777529733E-008                  9.9837172626326420E-001                  9.9799356575051967E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4960663483232385E+034                  5.1712519772280324E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5758229263106136E+000                 -2.5288584840299642E+001                 -9.8999999999999986E+001                  5.5758229263106136E+000                  4.6614369681353933E+000                  3.7022802800584468E+005                  5.5684692937996809E+000                  9.8461954708168087E-001                  4.1676202635857820E+000                  1.4710257112409650E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075380780135706E+000                  3.9651991074591891E-001                  1.6307586409544307E+001                  6.2015927050641095E-001                  8.4954146497453964E-001                  1.2980368627372085E+000                  6.9908279654870820E-001                  2.8036788994851053E-001                  8.9161291717510142E-005                  9.2818205969940424E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4969499937012564E+001                  1.4011733655470319E+001                  0.0000000000000000E+000                  3.0712781342086770E+000                  5.5744617325858234E+000                 -2.5288584840299642E+001                  3.5937353717880371E-008                                        0                                        0 
                                       8                  9.3332917963615202E+001                  5.0000000000000000E+001                  1.3068437114933269E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2999394232174538E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996568158234E-001                  6.6508865696224428E-001                  7.8131772777529733E-008                  9.9978892135604625E-001                  9.9950717764686114E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4884201792512500E+034                  5.1615088079354480E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5708247693951236E+000                 -2.5289359107470059E+001                 -9.9339898569113778E+000                  5.5708247693951236E+000                  4.6614541447562097E+000                  3.7028122200071439E+005                  5.5685316883166482E+000                  9.8461639109853050E-001                  4.1676265755520827E+000                  1.4710470910479347E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075236732812765E+000                  3.9646532574225501E-001                  1.6307519985357093E+001                  6.2016180374184748E-001                  8.4953929812963480E-001                  1.2980424338263215E+000                  6.9907846862722256E-001                  2.8037199883985581E-001                  8.7104683865014501E-005                  9.2809691340973027E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4969356214876385E+001                  1.4011870025839833E+001                  0.0000000000000000E+000                  3.0517096991239101E+000                  5.5695085533434838E+000                 -2.5289359107470059E+001                 -6.4282345607828560E-009                                        0                                        0 
                                      10                  1.4684448121648910E+002                  5.0000000000000000E+001                  1.4652062035885765E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2996877315150385E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996569567084E-001                  6.6912909110829100E-001                  7.8131772777529733E-008                  9.9913537501631011E-001                  9.9892044597600782E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4791182899419862E+034                  5.1503333950768522E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5652796861471323E+000                 -2.5288958596352828E+001                 -9.8999999999999986E+001                  5.5652796861471323E+000                  4.6614725073804770E+000                  3.7021102781043504E+005                  5.5684493513317603E+000                  9.8453849735755361E-001                  4.1677823630340365E+000                  1.4715748707918219E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075308020713495E+000                  3.9647286152507694E-001                  1.6307538041635738E+001                  6.2016454764533546E-001                  8.4953621966336579E-001                  1.2980503130810785E+000                  6.9907231945022397E-001                  2.8037792126829914E-001                  8.4684586147007983E-005                  9.2797424585301415E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4969152105312851E+001                  1.4012066477654320E+001                  0.0000000000000000E+000                  3.0244829553323060E+000                  5.5640276598716616E+000                 -2.5288958596352828E+001                 -1.7497592716496155E-008                                        0                                        0 
                                      12                  2.2390113230062752E+002                  5.0000000000000000E+001                  1.6235686956838260E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2989778469367010E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996573791328E-001                  6.6912909110829100E-001                  7.8131772777529733E-008                  9.9968805870424493E-001                  9.9950717764686114E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4697416722256534E+034                  5.1389134461743697E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5598768507374263E+000                 -2.5286248806198603E+001                 -9.8999999999999986E+001                  5.5598768507374263E+000                  4.6615035983923594E+000                  3.7004725060498010E+005                  5.5682571818151869E+000                  9.8438023057550084E-001                  4.1680988965981420E+000                  1.4726478124213110E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6075802952054632E+000                  3.9660513427645194E-001                  1.6307724203630773E+001                  6.2016722558190240E-001                  8.4953184575881546E-001                  1.2980614504806762E+000                  6.9906358181078321E-001                  2.8038647277478612E-001                  8.2056937175851926E-005                  9.2779720620389580E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4968862310284564E+001                  1.4012349913830001E+001                  0.0000000000000000E+000                  2.9867970301945519E+000                  5.5587146384375972E+000                 -2.5286248806198603E+001                 -2.2810158753297774E-008                                        0                                        0 
                                      14                  3.3486270986178681E+002                  5.0000000000000000E+001                  1.7819311877790758E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2978693061699147E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996582185191E-001                  6.6912909110829100E-001                  7.8131772777529733E-008                  9.9892044597600782E-001                  9.9787666740730985E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4620710893697538E+034                  5.1294447395727905E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5556959537426067E+000                 -2.5279890519582683E+001                 -9.8999999999999986E+001                  5.5556959537426067E+000                  4.6615640270725596E+000                  3.6982233008273895E+005                  5.5679931305628179E+000                  9.8412734758891562E-001                  4.1686046625713127E+000                  1.4743638116979206E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6076967379834812E+000                  3.9693586180242119E-001                  1.6308176998894673E+001                  6.2016961398622106E-001                  8.4952561498979728E-001                  1.2980772320427010E+000                  6.9905113315584122E-001                  2.8039885492279232E-001                  7.9504114828191297E-005                  9.2754095486592691E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4968449962521234E+001                  1.4012759858685675E+001                  0.0000000000000000E+000                  2.9348440024457658E+000                  5.5546549488792101E+000                 -2.5279890519582683E+001                 -2.4385614594143161E-008                                        0                                        0 
                                      16                  4.9464738154985622E+002                  5.0000000000000000E+001                  1.9402936798743253E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      638                  3.2965643002951801E+001                  6.5792470670092162E-001                  7.8131772777529733E-008                  9.9999999843938647E-001                  9.9999996594937179E-001                  6.6508865696224428E-001                  7.8131772777529733E-008                  9.9913537501631011E-001                  9.9879400446825095E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4582941227745925E+034                  5.1265613012373413E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5539770388581138E+000                 -2.5269029348503416E+001                 -9.8999999999999986E+001                  5.5539770388581138E+000                  4.6616673995154017E+000                  3.6957210945181560E+005                  5.5676991888245349E+000                  9.8377363183408950E-001                  4.1693120940809649E+000                  1.4767673913282231E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6078957854425182E+000                  3.9751090764095204E-001                  1.6308958247161787E+001                  6.2017200807354866E-001                  8.4951671066444912E-001                  1.2980996761431980E+000                  6.9903333989187399E-001                  2.8041681082528869E-001                  7.7416536717886029E-005                  9.2716942844331875E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  3.4967860136384573E+001                  1.4013354675347617E+001                  0.0000000000000000E+000                  2.8643227545175676E+000                  5.5530887092937649E+000                 -2.5269029348503416E+001                 -2.3071797267127809E-008                                        0                                        0 
