                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      6.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                     291                  4.1221426264149128E+006                  2.6547209695850366E+001                  3.3939856266942083E+000                  3.4722697330878688E+001                 -3.6989700043360187E+000                                     1162                  1.1332650042968471E+001                  4.2685458052307013E-001                  8.8293764299862687E-008                  5.7238091000555547E-001                  4.3354127673811171E-001                  6.0004077296436664E-001                  8.8293764299862687E-008                  1.0000000000000000E+000                  9.0179266417956661E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4328335831170157E+034                  1.9621975710607091E+034                  2.2623291458119493E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4244438762570785E+034                  2.0031473761358559E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0849169062840591E+000                  5.2304758542175138E+000                  5.6327777985738461E+000                  5.8578886353813875E+000                  4.0017136128361557E+000                  7.2355276272636850E+005                  5.8594702061190596E+000                  2.4495667138398431E+000                  9.6277480605194365E-001                  9.1785653854517673E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3855678747234386E+000                  2.8066782777078814E+000                  1.9218061973543517E+001                  1.6743843329134525E+000                  5.0000000000022093E-001                  1.0284421188322074E+001                  1.6602528071760761E-099                  1.3785458516325891E-001                  4.4265688519391055E-001                  3.9539908749488634E-001                  1.7216421791920147E-004                  6.7643941762706241E-004                  2.0798571210256207E+000                  1.4167015955624018E+001                  0.0000000000000000E+000                 -3.3010636621514960E-001                  5.0849152361094623E+000                  5.2304758542175138E+000                  2.5108233193418778E-004                                        0                                        0 
                                     292                  4.1251154344951026E+006                  2.5952648079812349E+001                  3.4731668727418330E+000                  3.4712860128265881E+001                 -3.6989700043360187E+000                                     1179                  1.1333855717039100E+001                  4.3663359607587715E-001                  9.0316528256195738E-008                  5.9204791074040886E-001                  4.4344480709446260E-001                  6.1729099261161025E-001                  9.0316528256195738E-008                  1.0000000000000000E+000                  9.2375030836853866E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4386734481627331E+034                  1.9670502162210812E+034                  2.2622194682999541E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4395489272922017E+034                  2.0043904312185294E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0760432085958591E+000                  5.2045790651616946E+000                  5.6444549542388840E+000                  5.8575266144395588E+000                  4.0321713197346520E+000                  7.2327497107532551E+005                  5.8593034366000207E+000                  2.3885679152833328E+000                  1.0749352005521546E+000                  1.1883249087141495E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3880394992248295E+000                  2.8138561497180530E+000                  1.9227254171152811E+001                  1.6791645309587677E+000                  5.0000000000008715E-001                  1.0467449474824127E+001                  1.6689702906312508E-099                  1.2966970621629950E-001                  4.3471536543796047E-001                  4.1152066481155974E-001                  1.7216421791920147E-004                  6.7643941762706241E-004                  1.8496191266308752E+000                  1.3718395880214620E+001                  0.0000000000000000E+000                 -3.3863529924675417E-001                  5.0760415370948655E+000                  5.2045790651616946E+000                  2.1961816557724745E-004                                        0                                        0 
                                     294                  4.1301153276523105E+006                  2.4952669448370781E+001                  3.3467782058784894E+000                  3.4695795464033914E+001                 -3.6989700043360187E+000                                     1192                  1.1337412002054505E+001                  4.5413169449571988E-001                  9.3935966227753909E-008                  6.1577424033231853E-001                  4.6107526741528487E-001                  6.4202893911750014E-001                  9.3935966227753909E-008                  7.8635698452842173E-001                  7.2145267445967753E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4477569533504355E+034                  1.9768697727555216E+034                  2.2617894324988773E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4604687151121936E+034                  2.0074566337557879E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0574606675424327E+000                  5.1565287603881522E+000                  5.6633742047884361E+000                  5.8562409131015558E+000                  4.0758747911573208E+000                  7.2128243363748421E+005                  5.8581053553604434E+000                  2.3005619318182053E+000                  1.2338825032504428E+000                  1.7134936654833506E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3924058696957964E+000                  2.8265888396579326E+000                  1.9243577177391231E+001                  1.6871711562819354E+000                  5.0000000000000411E-001                  1.0786544720298002E+001                  1.6968928579820403E-099                  1.1621994471057498E-001                  4.2011554218735703E-001                  4.3955953315934804E-001                  1.7216421791920147E-004                  6.7643941762706252E-004                  1.4625713556669164E+000                  1.2967651629488987E+001                  0.0000000000000000E+000                 -3.5703669923704034E-001                  5.0574589953441205E+000                  5.1565287603881522E+000                  2.6344975097567739E-004                                        0                                        0 
                                     296                  4.1335294865956949E+006                  2.4269837659693838E+001                  3.2069279342641499E+000                  3.4683745321917463E+001                 -3.6989700043360187E+000                                     1173                  1.1340056868847123E+001                  4.6718945248644672E-001                  9.6578854136275538E-008                  6.3309904620218083E-001                  4.7382727460723018E-001                  6.6009242083612740E-001                  9.6578854136275538E-008                  8.0848113524640786E-001                  7.4175074266493701E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4533305834672076E+034                  1.9835248088673924E+034                  2.2615677541598246E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4775318557938042E+034                  2.0099611595519864E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0410750685810077E+000                  5.1202464451638594E+000                  5.6759792607915047E+000                  5.8549369333542343E+000                  4.0993574285753356E+000                  7.1930724728463264E+005                  5.8569144359991991E+000                  2.2530011973015549E+000                  1.3169538301672918E+000                  2.0746929451888700E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3955665306062617E+000                  2.8359031401539245E+000                  1.9255486337435812E+001                  1.6926088187212092E+000                  5.0000000000001055E-001                  1.1012735054271335E+001                  0.0000000000000000E+000                  1.0726956776081800E-001                  4.0927801737627534E-001                  4.5933768171538292E-001                  1.7216421791920147E-004                  6.7643941762706231E-004                  1.1984325483685148E+000                  1.2457580208353839E+001                  0.0000000000000000E+000                 -3.7237261773751434E-001                  5.0410733923361324E+000                  5.1202464451638594E+000                  3.4804383650906788E-004                                        0                                        0 
                                     298                  4.1364922824730398E+006                  2.3677278484224949E+001                  3.1621597971669275E+000                  3.4673010232766124E+001                 -3.6989700043360187E+000                                     1169                  1.1341375125228415E+001                  4.7888156469172549E-001                  9.8995885489117086E-008                  6.4894329321130084E-001                  4.8548465469663576E-001                  6.7661221726816234E-001                  9.8995885489117086E-008                  8.2871458036988466E-001                  7.6031416027941867E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4577335502709168E+034                  1.9880757915778865E+034                  2.2613458772341327E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4936262614744267E+034                  2.0111397599266773E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0224340293135956E+000                  5.0865715999359464E+000                  5.6868922034665044E+000                  5.8534836664917833E+000                  4.1230712624289536E+000                  7.1713249557350122E+005                  5.8555994022235254E+000                  2.2049160127064820E+000                  1.4023891102061024E+000                  2.5257427218547630E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3984532559282972E+000                  2.8445386323895208E+000                  1.9266459173923149E+001                  1.6973000119201456E+000                  4.9999999999998734E-001                  1.1214404220406822E+001                  0.0000000000000000E+000                  9.9674669058234258E-002                  3.9925937238807097E-001                  4.7694043476401360E-001                  1.7216421791920101E-004                  6.7643941762706241E-004                  9.6934433547037691E-001                  1.2016712469709432E+001                  0.0000000000000000E+000                 -3.8880714160984065E-001                  5.0224323445305528E+000                  5.0865715999359464E+000                  4.5248807573702285E-004                                        0                                        0 
                                     300                  4.1392972000754680E+006                  2.3116294963739318E+001                  3.1427497882662099E+000                  3.4662596677984013E+001                 -3.6989700043360187E+000                                     1192                  1.1342143665493776E+001                  4.9065039361421270E-001                  5.0699153208988434E-008                  6.6889263353007966E-001                  4.9720117540134690E-001                  6.9827119041694008E-001                  5.0699153208988434E-008                  8.4882572809069845E-001                  7.7876537467072471E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4617819448179088E+034                  1.9919455046719408E+034                  2.2612483166049246E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.5110064635423689E+034                  2.0136151376644680E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0022678161306642E+000                  5.0515199290045221E+000                  5.6964321231387576E+000                  5.8513839946554551E+000                  4.1771547885467273E+000                  7.1163693189703883E+005                  5.8522584786233622E+000                  2.0950784986708526E+000                  1.6116505834952448E+000                  4.0893151689368118E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4012790812040752E+000                  2.8529367283092104E+000                  1.9277198595054656E+001                  1.7017136703954119E+000                  4.9999999999999784E-001                  1.1409934023132640E+001                  0.0000000000000000E+000                  9.2638574441573932E-002                  3.8924458084108460E-001                  4.9397844253682266E-001                  1.7216421791645809E-004                  6.7643941762706296E-004                  7.5259716705465118E-001                  1.1600900801896032E+001                  0.0000000000000000E+000                 -4.0700762027721105E-001                  5.0022661237045378E+000                  5.0515199290045221E+000                  5.7049864005582096E-004                                        0                                        0 
                                     302                  4.1417591802790118E+006                  2.2623898923030563E+001                  3.0391020383936533E+000                  3.4653245902380483E+001                 -3.6989700043360187E+000                                     1152                  1.1343160382411913E+001                  5.0132911490844201E-001                  5.1802591216620897E-008                  6.8345069381535728E-001                  5.0795373757254725E-001                  7.1346865795655723E-001                  5.1802591216620897E-008                  8.6729992783785881E-001                  7.9571475145293036E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4648079305476765E+034                  1.9950192673133049E+034                  2.2610558211294908E+034                  2.2751422975719263E+034                  2.3004307451750163E+034                  2.5202023082111503E+034                  2.0149418554633851E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9673120481988065E+000                  5.0179047240203838E+000                  5.7042033234978424E+000                  5.8469676857405215E+000                  4.5641235708038650E+000                  7.1048521129778551E+005                  5.8515550425469369E+000                  1.3207892161183643E+000                  3.1508783729966963E+000                  1.4153973331877014E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4038489167754147E+000                  2.8606002902206873E+000                  1.9286997504006884E+001                  1.7055728126722565E+000                  4.9999999999999667E-001                  1.1585701905806829E+001                  0.0000000000000000E+000                  8.6570304422940794E-002                  3.8004650972362608E-001                  5.0923078337182193E-001                  1.7250583126451497E-004                  5.2273535532737113E-004                  5.6305915378618621E-001                  1.1236581918038329E+001                  0.0000000000000000E+000                 -4.3732478147706766E-001                  4.9673103375993222E+000                  5.0179047240203838E+000                  9.6567338710353383E-005                                        0                                        0 
                                     304                  4.1433348476092797E+006                  2.2308765456976964E+001                  2.8452820123775404E+000                  3.4647153988120692E+001                 -3.6989700043360187E+000                                     1130                  1.1344931964491915E+001                  5.0841088650711463E-001                  5.2534354089139867E-008                  6.9310511357399918E-001                  5.1506590514789441E-001                  7.2354711126837490E-001                  5.2534354089139867E-008                  8.7955140060064552E-001                  8.0695501251080470E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4656258559960512E+034                  1.9956056669912356E+034                  2.2610435433975448E+034                  2.2726000342710041E+034                  2.3091234000685472E+034                  2.5273507999033731E+034                  2.0149418554633822E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8844242864782794E+000                  4.9936274325883216E+000                  5.7076087764400265E+000                  5.8358320579493572E+000                  4.6883001414132428E+000                  6.9165077611361723E+005                  5.8398868686049115E+000                  1.0666019879285968E+000                  3.6531609151164419E+000                  4.4994653853968684E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4054698914576065E+000                  2.8655675039113944E+000                  1.9293238756628288E+001                  1.7080235915666544E+000                  5.0000000000000311E-001                  1.1699736980336457E+001                  0.0000000000000000E+000                  8.2756442446638309E-002                  3.7399740125803810E-001                  5.1908338836561640E-001                  1.7167450216949172E-004                  4.6604256542173190E-004                  4.7143200139881403E-001                  1.0974510360723279E+001                  0.0000000000000000E+000                 -5.0183885267912076E-001                  4.8844225019556298E+000                  4.9936274325883216E+000                  2.1017968707730651E-005                                        0                                        0 
                                     306                  4.1449868079114454E+006                  2.1978373396543834E+001                  2.9541658590580671E+000                  3.4640673998017739E+001                 -3.6989700043360187E+000                                     1125                  1.1345628282095669E+001                  5.1620864168859026E-001                  5.3324082038841425E-008                  7.0352428438517944E-001                  5.2274294975157387E-001                  7.3442390440494210E-001                  5.3324082038841425E-008                  8.9277334356513405E-001                  8.1908564312891285E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4666047152870465E+034                  1.9961637242478960E+034                  2.2609689667456353E+034                  2.2695726266290872E+034                  2.3202660544931887E+034                  2.5363366684622670E+034                  2.0159739231686284E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7660237920499728E+000                  4.9681421897991118E+000                  5.7119645959689800E+000                  5.8237750073775834E+000                  4.7779696256500461E+000                  6.7672969520250056E+005                  5.8304152339382194E+000                  8.8252720212164482E-001                  4.0148304966273889E+000                  1.0347382337272382E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4072696789661769E+000                  2.8711564341014935E+000                  1.9300222498121368E+001                  1.7105817274776312E+000                  5.0000000000000122E-001                  1.1820827431311857E+001                  7.4173081734304924E-030                  7.8810164840529620E-002                  3.6749604452105034E-001                  5.2951852299988045E-001                  1.7029976650200765E-004                  4.5652811831943475E-004                  3.7862329624659469E-001                  1.0697148064055787E+001                  0.0000000000000000E+000                 -5.8047335387321575E-001                  4.7660218364134330E+000                  4.9681421897991118E+000                  8.6296937715124271E-006                                        0                                        0 
