                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      6.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  3.5860956909327943E+000                  5.9999971311234475E+001                  5.5462187404089103E-001                  3.5076829493287569E+001                 -5.0969100130080562E+000                                     1244                  4.2953578935862922E+001                  7.1475868318146696E-001                  7.8131810798964807E-008                  7.3899318803583225E-001                  7.2103835623560986E-001                  7.3899318803583225E-001                  7.8131810798964807E-008                  9.9750071929383155E-001                  9.9715523980831922E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5945966712158578E+034                  6.5704937389056016E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8530390737433198E+000                 -2.4826273229402673E+001                 -9.0888918168971209E+000                  5.8530390737433207E+000                  4.6816753619087264E+000                  5.2755217618799873E+005                  5.7222654188700934E+000                  1.0210408220702196E+000                  4.1739587520000700E+000                  1.4926526351327067E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6171521925931280E+000                  3.5385808257745749E-001                  1.6299964801866373E+001                  6.1984890328936082E-001                  8.4955557174548157E-001                  1.2979978221892698E+000                  6.9911087224026092E-001                  2.8034772194443297E-001                  1.4067077146099385E-004                  9.2839299955712086E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  4.1961680170110867E+001                  1.6814465405986194E+001                  0.0000000000000000E+000                  3.5463785684459634E+000                  5.8508902649754813E+000                 -2.4826273229402673E+001                  7.6300138453076665E-005                                        0                                        0 
                                       2                  7.8894105200521478E+000                  5.9999936884715844E+001                  6.3380312008851580E-001                  3.5076829244099926E+001                 -5.0969100130080562E+000                                      652                  4.0718841563674026E+001                  6.7709943641940395E-001                  7.8131855762997304E-008                  6.8875955791810362E-001                  6.8208732782850201E-001                  6.8982638161079302E-001                  7.8131855762997304E-008                  6.9824550114909323E-001                  6.9448015680543984E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6062198408111894E+034                  6.5758711858048449E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8511888478480785E+000                 -2.4830239400499995E+001                 -9.8999999999999986E+001                  5.8511888478480785E+000                  4.6794158088841122E+000                  5.2784361626690824E+005                  5.7225052735714250E+000                  1.0256798554701139E+000                  4.1646804360126399E+000                  1.4611016662022248E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6172201091003560E+000                  3.5322260554546470E-001                  1.6299710744302537E+001                  6.1984700330353759E-001                  8.4955536942677445E-001                  1.2979983302963132E+000                  6.9911046541903055E-001                  2.8034813416136600E-001                  1.4067402601547390E-004                  9.2838387577659550E-003                  3.4416106108119946E-003                  9.3604466091399691E-003                  4.1961623723028040E+001                  1.6814479438100239E+001                  0.0000000000000000E+000                  3.5479884632478509E+000                  5.8490228077273612E+000                 -2.4830239400499995E+001                  7.9378161900502998E-005                                        0                                        0 
                                       4                  1.9250161668927241E+001                  5.9999845998706654E+001                  7.9216561218376547E-001                  3.5076828586243863E+001                 -5.0969100130080562E+000                                      648                  4.2395451120797368E+001                  7.0382262343273960E-001                  7.8131974112771729E-008                  9.9999999881369395E-001                  9.9999995821737808E-001                  7.0382262343273960E-001                  7.8131974112771729E-008                  9.9908145219437872E-001                  9.9854643956304567E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5895114569555380E+034                  6.5617810453354886E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8425139845760343E+000                 -2.4839824848662136E+001                 -9.8999999999999986E+001                  5.8425139845760343E+000                  4.6790985445249609E+000                  5.2840479776111769E+005                  5.7229667522273484E+000                  1.0265451235163781E+000                  4.1629492420640499E+000                  1.4552889845183026E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6170412324202541E+000                  3.5267433886561417E-001                  1.6298984369439545E+001                  6.1985346062874125E-001                  8.4955441495144002E-001                  1.2980009462072630E+000                  6.9910856059270432E-001                  2.8034955936053380E-001                  1.3749247397105939E-004                  9.2835326898684373E-003                  3.4416106108119959E-003                  9.3604466091399708E-003                  4.1961476038631368E+001                  1.6814516170189272E+001                  0.0000000000000000E+000                  3.5382099030714262E+000                  5.8403534558433980E+000                 -2.4839824848662136E+001                  6.0528471991633834E-005                                        0                                        0 
                                       6                  3.5609643323307367E+001                  5.9999715122853416E+001                  9.5052810427901502E-001                  3.5076827638929387E+001                 -5.0969100130080562E+000                                      648                  4.2611866152893732E+001                  7.0842307864504350E-001                  7.8132144420983707E-008                  9.9999999881369395E-001                  9.9999995819077825E-001                  7.1020114121613898E-001                  7.8132144420983707E-008                  9.9875508149012437E-001                  9.9854861766700975E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5646262159626818E+034                  6.5412413504217508E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8306260095316960E+000                 -2.4852130302456324E+001                 -9.8999999999999986E+001                  5.8306260095316960E+000                  4.6790236249465531E+000                  5.2861509315488965E+005                  5.7231395590611163E+000                  1.0267813660900773E+000                  4.1624758096021726E+000                  1.4537034114191789E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6168116052475501E+000                  3.5197202411729817E-001                  1.6298052793893362E+001                  6.1986188350002347E-001                  8.4955305297856976E-001                  1.2980046706067254E+000                  6.9910584299639678E-001                  2.8035161284885218E-001                  1.3306361199661774E-004                  9.2830927908684833E-003                  3.4416106108119942E-003                  9.3604466091399691E-003                  4.1961266620370040E+001                  1.6814568349423105E+001                  0.0000000000000000E+000                  3.5236521593731536E+000                  5.8284787544147552E+000                 -2.4852130302456324E+001                  4.4582722852681027E-005                                        0                                        0 
                                       8                  5.9167296905614748E+001                  5.9999526661624756E+001                  1.1088905963742646E+000                  3.5076826274792907E+001                 -5.0969100130080562E+000                                      649                  4.2703097550573851E+001                  7.1023635421744946E-001                  7.8132389891294451E-008                  9.9999999881369395E-001                  9.9999995948346909E-001                  7.1172390728019574E-001                  7.8132389891294451E-008                  9.9880188398926939E-001                  9.9862248125073505E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5285545985568351E+034                  6.5127342237329724E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8150811409905003E+000                 -2.4867244755342067E+001                 -9.8999999999999986E+001                  5.8150811409905003E+000                  4.6789151279467136E+000                  5.2855655677754665E+005                  5.7230914646467452E+000                  1.0269743128825719E+000                  4.1620885518807027E+000                  1.4524077307789796E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6165296154145343E+000                  3.5111029225122675E-001                  1.6296909143480800E+001                  6.1987246348526903E-001                  8.4955113633631396E-001                  1.2980098823522297E+000                  6.9910201867334154E-001                  2.8035457259017876E-001                  1.2724022599536379E-004                  9.2824600049747959E-003                  3.4416106108119972E-003                  9.3604466091399829E-003                  4.1960971028844604E+001                  1.6814642224269726E+001                  0.0000000000000000E+000                  3.5033076231184590E+000                  5.8129575437153962E+000                 -2.4867244755342067E+001                  3.2750499290580800E-005                                        0                                        0 
                                      10                  9.3090318064137378E+001                  5.9999255277455482E+001                  1.2672530884695141E+000                  3.5076824310428847E+001                 -5.0969100130080562E+000                                      657                  4.2743723531203116E+001                  7.1023956670570643E-001                  7.8132743275283190E-008                  9.9999999881369395E-001                  9.9999996089117082E-001                  7.1654295780189936E-001                  7.8132743275283190E-008                  9.9918466137695872E-001                  9.9751262351175118E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5011822710063913E+034                  6.4793687964497600E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7959961952820862E+000                 -2.4884547665959893E+001                 -9.9339898569113778E+000                  5.7959961952820862E+000                  4.6787563409682669E+000                  5.2831113325713272E+005                  5.7228897627997384E+000                  1.0271910359159615E+000                  4.1616531414498645E+000                  1.4509523206855114E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6162068598553994E+000                  3.5012432720346826E-001                  1.6295600194576618E+001                  6.1988498410931414E-001                  8.4954851637067330E-001                  1.2980169481783161E+000                  6.9909679072802866E-001                  2.8035875723634629E-001                  1.2009513280910500E-004                  9.2815672704837943E-003                  3.4416106108119964E-003                  9.3604466091399760E-003                  4.1960555685024637E+001                  1.6814746516829302E+001                  0.0000000000000000E+000                  3.4760743198531299E+000                  5.7939121649561480E+000                 -2.4884547665959893E+001                  2.4031766254960281E-005                                        0                                        0 
                                      12                  1.4193946853240996E+002                  5.9998864484251733E+001                  1.4256155805647639E+000                  3.5076821481728992E+001                 -5.0969100130080562E+000                                      657                  4.2757927813686258E+001                  7.1024419273984951E-001                  7.8133252090495375E-008                  9.9999999881369395E-001                  9.9999996364441590E-001                  7.1654761115576360E-001                  7.8133252090495375E-008                  9.9870217363649660E-001                  9.9812530665744936E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4655554792573926E+034                  6.4409157428922305E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7737778257286241E+000                 -2.4902235028448338E+001                 -9.8999999999999986E+001                  5.7737778257286241E+000                  4.6785918801593924E+000                  5.2792630528916931E+005                  5.7225733023822904E+000                  1.0273617273249855E+000                  4.1613089299319617E+000                  1.4498027858564677E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6158769455173099E+000                  3.4911645925051432E-001                  1.6294261801553048E+001                  6.1989866690576134E-001                  8.4954492227946576E-001                  1.2980265410301273E+000                  6.9908961848281437E-001                  2.8036473573134485E-001                  1.1169151817714183E-004                  9.2802949455062997E-003                  3.4416106108119955E-003                  9.3604466091399777E-003                  4.1959974354104276E+001                  1.6814893599644467E+001                  0.0000000000000000E+000                  3.4397125321532140E+000                  5.7717607269018325E+000                 -2.4902235028448338E+001                  1.7621791073182444E-005                                        0                                        0 
                                      14                  2.1228224520672248E+002                  5.9998301742038336E+001                  1.5839780726600134E+000                  3.5076817408368832E+001                 -5.0969100130080562E+000                                      665                  4.2741705027427308E+001                  7.1025085433488544E-001                  7.8133984837691628E-008                  9.9999999881369395E-001                  9.9999996681539427E-001                  7.1655434560902487E-001                  7.8133984837691628E-008                  9.9802181405871537E-001                  9.9784489963916234E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4184429169124551E+034                  6.3979392224082033E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7502945738159905E+000                 -2.4917029400780979E+001                 -9.9339898569113778E+000                  5.7502945738159905E+000                  4.6784629364177501E+000                  5.2743851555708097E+005                  5.7221718404425399E+000                  1.0274188838383957E+000                  4.1611905435449827E+000                  1.4494076311186876E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6156008402881294E+000                  3.4827190916433470E-001                  1.6293140237003012E+001                  6.1991192792795780E-001                  8.4954003848700244E-001                  1.2980394100234800E+000                  6.9907987136447169E-001                  2.8037325453031992E-001                  1.0259679270074731E-004                  9.2784863978276309E-003                  3.4416106108119955E-003                  9.3604466091399708E-003                  4.1959162104949478E+001                  1.6815101569977312E+001                  0.0000000000000000E+000                  3.3920867208393628E+000                  5.7483867862985623E+000                 -2.4917029400780979E+001                  1.2901515350193054E-005                                        0                                        0 
                                      16                  3.1357584361773252E+002                  5.9997491393251053E+001                  1.7423405647552632E+000                  3.5076811542663087E+001                 -5.0969100130080562E+000                                      666                  4.2703461499125709E+001                  7.1026044725127335E-001                  7.8135040104676534E-008                  9.9999999881369395E-001                  9.9999996916540368E-001                  7.1656402366274752E-001                  7.8135040104676534E-008                  9.9858562758307290E-001                  9.9823009892237813E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3695672928065788E+034                  6.3719578616051446E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7286552910757411E+000                 -2.4924435278743708E+001                 -9.8999999999999986E+001                  5.7286552910757411E+000                  4.6783799415067966E+000                  5.2690953474210319E+005                  5.7217360574614116E+000                  1.0273669821697398E+000                  4.1612884811765474E+000                  1.4497345235002625E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6154620738323970E+000                  3.4784414414023401E-001                  1.6292572701684044E+001                  6.1992264985478185E-001                  8.4953337661749118E-001                  1.2980567140317840E+000                  6.9906657305895525E-001                  2.8038546998536790E-001                  9.3700867859475908E-005                  9.2758983726041484E-003                  3.4416106108119964E-003                  9.3604466091399777E-003                  4.1958025077853243E+001                  1.6815397993520900E+001                  0.0000000000000000E+000                  3.3300115599329212E+000                  5.7269174533964007E+000                 -2.4924435278743708E+001                  9.4512512524959169E-006                                        0                                        0 
