                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      6.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                     291                  4.1221426264149128E+006                  2.6794943702532873E+001                  3.3939856266942083E+000                  3.4726731299467154E+001                 -3.9999999999999996E+000                                     1162                  1.1332650042967977E+001                  4.2290807491821647E-001                  8.7477439958405512E-008                  5.6708893336405053E-001                  4.2953294894533894E-001                  5.9449306566146731E-001                  8.7477439958405512E-008                  1.0000000000000000E+000                  9.0193173687492390E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4328753151292155E+034                  1.9622406639915189E+034                  2.2623281406003254E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4245051285148823E+034                  2.0031473761358562E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0872344949947026E+000                  5.2305099793605008E+000                  5.6328136204480517E+000                  5.8583097560746387E+000                  3.9929313070900361E+000                  7.2457600375806924E+005                  5.8600839471315540E+000                  2.4674381958383313E+000                  9.3106581064342975E-001                  8.5322939800294222E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3855698038026070E+000                  2.8066792410245029E+000                  1.9218067391621620E+001                  1.6743846653072614E+000                  5.0000000000020428E-001                  1.0284433728471557E+001                  1.6602553147631407E-099                  1.3785400979166387E-001                  4.4265637306798428E-001                  3.9540017438700170E-001                  1.7216421791920150E-004                  6.7643941762706252E-004                  2.1742834546610754E+000                  1.4315496237273207E+001                  0.0000000000000000E+000                 -3.2741920408436359E-001                  5.0872328233982218E+000                  5.2305099793605008E+000                  1.7074022440152799E-004                                        0                                        0 
                                     292                  4.1251154344951026E+006                  2.6497662894513859E+001                  3.4731668727418330E+000                  3.4721886021222417E+001                 -3.9999999999999996E+000                                     1169                  1.1333855782495760E+001                  4.2765273691840622E-001                  8.8458861013940293E-008                  5.7987042612030471E-001                  4.3432383800472796E-001                  6.0116276251832046E-001                  8.8458861013940293E-008                  1.0000000000000000E+000                  9.1015015674288258E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4387130260176939E+034                  1.9670975963612097E+034                  2.2622186077091610E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4396118856932963E+034                  2.0043904312185241E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0802586400865453E+000                  5.2045834927475587E+000                  5.6444684055599419E+000                  5.8582358518475814E+000                  4.0025296857820907E+000                  7.2464481207205763E+005                  5.8601251873218274E+000                  2.4482620585493584E+000                  9.6457280697663828E-001                  9.2166438752753930E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3880402416238340E+000                  2.8138508641732090E+000                  1.9227253579248714E+001                  1.6791649437810403E+000                  4.9999999999996458E-001                  1.0467465516825822E+001                  1.6689737857910224E-099                  1.2966902168736336E-001                  4.3471449916775817E-001                  4.1152221464627264E-001                  1.7216421791920144E-004                  6.7643941762706231E-004                  2.0573417109342120E+000                  1.4045073765634891E+001                  0.0000000000000000E+000                 -3.3375398172222742E-001                  5.0802569660207357E+000                  5.2045834927475587E+000                  1.5501772016084662E-004                                        0                                        0 
                                     294                  4.1315327899118918E+006                  2.5855927352834946E+001                  3.4708493353353722E+000                  3.4711238569423116E+001                 -3.9999999999999996E+000                                     1178                  1.1337280677124943E+001                  4.3826693601603539E-001                  9.0654380557886327E-008                  5.9426261778033873E-001                  4.4496258222275065E-001                  6.1960012787283048E-001                  9.0654380557886327E-008                  1.0000000000000000E+000                  9.2590293248675970E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4502490924184495E+034                  1.9799753637617571E+034                  2.2616585596940856E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4676066379460103E+034                  2.0087457279155956E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0663818599254880E+000                  5.1422393466716985E+000                  5.6685540431780224E+000                  5.8582047154730201E+000                  4.0349015446380339E+000                  7.2520336487545830E+005                  5.8604598105137269E+000                  2.3836856524334227E+000                  1.0830781674092111E+000                  1.2108160452214314E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3936936509509703E+000                  2.8303343023120617E+000                  1.9248402300069039E+001                  1.6894167579664032E+000                  4.9999999999997907E-001                  1.0878994931627837E+001                  1.7115921521569412E-099                  1.1252803722444854E-001                  4.1552965688343441E-001                  4.4783310305505925E-001                  1.7216421791920147E-004                  6.7643941762706231E-004                  1.8050869669287413E+000                  1.3467599987924860E+001                  0.0000000000000000E+000                 -3.4772777600265925E-001                  5.0663801862335962E+000                  5.1422393466716985E+000                  1.4210065156430811E-004                                        0                                        0 
                                     296                  4.1369174947100203E+006                  2.5317456873022135E+001                  3.4230539237932840E+000                  3.4702098529414073E+001                 -3.9999999999999996E+000                                     1189                  1.1339820872008255E+001                  4.4785746945419092E-001                  9.2582485455849906E-008                  6.0690183658244623E-001                  4.5418100271174178E-001                  6.3277824366151869E-001                  9.2582485455849906E-008                  7.7502673359992669E-001                  7.1105759945495306E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4589142179051539E+034                  1.9896777187892870E+034                  2.2612277745432144E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4977924516446645E+034                  2.0123183603013572E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0533012594892304E+000                  5.0818343793617080E+000                  5.6878177988060585E+000                  5.8580059265863289E+000                  4.0606438956027064E+000                  7.2528909510863468E+005                  5.8605111477916116E+000                  2.3322266191430194E+000                  1.1768561939809756E+000                  1.5026443197073714E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3988389628367361E+000                  2.8454761795400012E+000                  1.9267823529144170E+001                  1.6979394785133015E+000                  4.9999999999997030E-001                  1.1242379309654378E+001                  0.0000000000000000E+000                  9.8696452554885045E-002                  3.9741486659313574E-001                  4.7976007284723743E-001                  1.7216421791920147E-004                  6.7643941762706241E-004                  1.5936149752087614E+000                  1.2989221937385219E+001                  0.0000000000000000E+000                 -3.6089003946566650E-001                  5.0532995861120238E+000                  5.0818343793617080E+000                  1.5026726909606039E-004                                        0                                        0 
                                     298                  4.1424876891130302E+006                  2.4760437432721062E+001                  3.4713069023612206E+000                  3.4692436763482533E+001                 -3.9999999999999996E+000                                     1187                  1.1340483652863098E+001                  4.5793262736074425E-001                  9.4665253524972570E-008                  6.2447682751033062E-001                  4.6421595011058420E-001                  6.5190458957838682E-001                  9.4665253524972570E-008                  7.9246200543392431E-001                  7.2705379932607461E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4666219165590371E+034                  1.9972993587729444E+034                  2.2607237979529274E+034                  2.2735038421005467E+034                  2.3068569155647276E+034                  2.5259650942201251E+034                  2.0149418554633765E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0377352504153903E+000                  5.0097831403632540E+000                  5.7068332613515995E+000                  5.8576286175399206E+000                  4.0794665210995209E+000                  7.2523326503055322E+005                  5.8604777161182868E+000                  2.2945646523127272E+000                  1.2425183617100177E+000                  1.7479071613216398E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4046446822017611E+000                  2.8627659224990722E+000                  1.9289947268638205E+001                  1.7066737353705950E+000                  5.0000000000003109E-001                  1.1636692251390869E+001                  0.0000000000000000E+000                  8.4931551926445942E-002                  3.7664686587650176E-001                  5.1426112518957823E-001                  1.7216421791920147E-004                  6.7643941762706220E-004                  1.3750718205765777E+000                  1.2500568039934747E+001                  0.0000000000000000E+000                 -3.7703132071323758E-001                  5.0377335792532980E+000                  5.0097831403632540E+000                  1.5767898554391004E-004                                        0                                        0 
                                     300                  4.1484898241992267E+006                  2.4160223924101409E+001                  3.4526082325378922E+000                  3.4681779405697647E+001                 -3.9999999999999996E+000                                     1188                  1.1342351657084812E+001                  4.6945008698973101E-001                  9.7017026523538163E-008                  6.3999073288095509E-001                  4.7566668121591776E-001                  6.6809988405186771E-001                  9.7017026523538163E-008                  8.1214917398929254E-001                  7.4511602893204232E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4746522715672228E+034                  2.0054906403346833E+034                  2.2596449190475767E+034                  2.2649012842456051E+034                  2.3511567539058163E+034                  2.5629807169978198E+034                  2.0188224300350807E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0240208460827152E+000                  4.9165535440462724E+000                  5.7254495968657952E+000                  5.8571153337477826E+000                  4.0998007213487835E+000                  7.2540136884539702E+005                  5.8605783707666674E+000                  2.2539465791383919E+000                  1.3130971502738018E+000                  2.0563505435170061E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4115327137428864E+000                  2.8831544663909892E+000                  1.9316272278676038E+001                  1.7159745502235815E+000                  5.0000000000001155E-001                  1.2083245016068911E+001                  0.0000000000000000E+000                  7.0736905245058046E-002                  3.5199957059662751E-001                  5.5304502598221272E-001                  1.7216421791920147E-004                  6.7643941762706241E-004                  1.1397949084244525E+000                  1.1981312984491886E+001                  0.0000000000000000E+000                 -3.9681362845958645E-001                  5.0240191981075570E+000                  4.9165535440462724E+000                  1.8746163860082141E-004                                        0                                        0 
                                     302                  4.1535928288098034E+006                  2.3649923463043788E+001                  3.3938374804181861E+000                  3.4672508190152769E+001                 -3.9999999999999996E+000                                     1195                  1.1338713997244120E+001                  4.7943546988155705E-001                  9.9110387896672592E-008                  6.5379997698155945E-001                  4.8583158257986103E-001                  6.8251564651287477E-001                  9.9110387896672592E-008                  8.2967312490532596E-001                  7.6119358849368901E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4825860144542543E+034                  2.0115911842360417E+034                  2.2588530584005400E+034                  2.2633500252391078E+034                  2.3911719481909984E+034                  2.6021916388553379E+034                  2.0211893053057704E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0119303471143857E+000                  4.8206043151112139E+000                  5.7400530219518897E+000                  5.8564596876112232E+000                  4.1194545345881792E+000                  7.2556342074000183E+005                  5.8606753796595177E+000                  2.2146874571060255E+000                  1.3823441787936552E+000                  2.4118160380312350E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4180823693859637E+000                  2.9025903164688991E+000                  1.9341455688627462E+001                  1.7237806579034189E+000                  5.0000000000000699E-001                  1.2481245120776819E+001                  0.0000000000000000E+000                  5.9183381276248385E-002                  3.2936659093337134E-001                  5.8714928771423602E-001                  1.7216421791920063E-004                  6.7643941762706252E-004                  9.3992461812813588E-001                  1.1545315711294265E+001                  0.0000000000000000E+000                 -4.1595579863280119E-001                  5.0119287256815026E+000                  4.8206043151112139E+000                  2.3717759162941628E-004                                        0                                        0 
                                     304                  4.1582270984717533E+006                  2.3186496496848772E+001                  3.3563233354289919E+000                  3.4663913581818520E+001                 -3.9999999999999996E+000                                     1217                  1.1339036139355031E+001                  4.8901791478968293E-001                  5.0545649665778569E-008                  6.7053205804708060E-001                  4.9542182035582732E-001                  6.9615704142939860E-001                  5.0545649665778569E-008                  8.4625574657310088E-001                  7.7640751421337195E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4895736565782515E+034                  2.0178896111831034E+034                  2.2580975950038662E+034                  2.2628277272257891E+034                  2.4284278381117941E+034                  2.6334015799104707E+034                  2.0243267911297057E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9995427855605561E+000                  4.7148059518998666E+000                  5.7524206808732234E+000                  5.8556621249222811E+000                  4.1501858359674744E+000                  7.2460923716539342E+005                  5.8601038660280631E+000                  2.1529390975317084E+000                  1.4972462896080425E+000                  3.1422901901852590E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4247740239518780E+000                  2.9225589538699364E+000                  1.9367355501110534E+001                  1.7307905163462520E+000                  4.9999999999997891E-001                  1.2858317566344672E+001                  0.0000000000000000E+000                  4.9088421570458791E-002                  3.0752861803504328E-001                  6.1895955963363558E-001                  1.7216421791798868E-004                  6.7643941762706263E-004                  7.5854553074830966E-001                  1.1153693589065565E+001                  0.0000000000000000E+000                 -4.3616665170967756E-001                  4.9995411930743829E+000                  4.7148059518998666E+000                  3.0226832157819692E-004                                        0                                        0 
                                     306                  4.1625536244659158E+006                  2.2753843897432510E+001                  3.3285990646357795E+000                  3.4655733224846863E+001                 -3.9999999999999996E+000                                     1227                  1.1339221857627752E+001                  4.9831633807801068E-001                  5.1506748421914494E-008                  6.8328187909770066E-001                  5.0571305882779138E-001                  7.0939410831506677E-001                  5.1506748421914494E-008                  8.7350307473382616E-001                  7.9117050242516318E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4966736998793589E+034                  2.0251805323185203E+034                  2.2579249600755342E+034                  2.2623485313390336E+034                  2.4662102096764053E+034                  2.6701669922097851E+034                  2.0268037536222849E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9888562529147933E+000                  4.5920900032932890E+000                  5.7625421393408347E+000                  5.8545349950443288E+000                  4.3657126018011017E+000                  7.2686086544281978E+005                  5.8614512868517181E+000                  1.7225592762762825E+000                  2.3498255751472388E+000                  2.2378221858619591E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4318324130891220E+000                  2.9435119394905973E+000                  1.9394738360586398E+001                  1.7372578619450798E+000                  4.9999999999999667E-001                  1.3224052105276476E+001                  0.0000000000000000E+000                  4.0007882007637975E-002                  2.8614049501033445E-001                  6.4923960980943085E-001                  1.7217711650193478E-004                  6.7100320556771919E-004                  5.8931927945581475E-001                  1.0791768141396503E+001                  0.0000000000000000E+000                 -4.5839653304638978E-001                  4.9888547021986760E+000                  4.5920900032932890E+000                  1.9288235189931813E-004                                        0                                        0 
