                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      6.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  3.5860956909327943E+000                  5.9999992845012848E+001                  5.5462187404089103E-001                  3.5076829649154298E+001                 -5.7000130157287243E+000                                     1244                  4.2953578935862865E+001                  7.1475842665718403E-001                  7.8131782932366889E-008                  7.3899292281387396E-001                  7.2103809745757463E-001                  7.3899292281387396E-001                  7.8131782932366889E-008                  9.9750036129446407E-001                  9.9715488193294299E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5946007512188372E+034                  6.5704946902941140E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8530454889600678E+000                 -2.4826250614226584E+001                 -9.8999999999999986E+001                  5.8530454889600678E+000                  4.6816951217098390E+000                  5.2766276802737021E+005                  5.7223564513673519E+000                  1.0210468187166242E+000                  4.1739469145739925E+000                  1.4926119509307089E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6171526738636288E+000                  3.5385932299417105E-001                  1.6299966607698703E+001                  6.1984888845413189E-001                  8.4955557174059693E-001                  1.2979978222025543E+000                  6.9911087223051260E-001                  2.8034772195197055E-001                  1.4067075650645640E-004                  9.2839299938214988E-003                  3.4416106108119959E-003                  9.3604466091399691E-003                  4.1961695243356878E+001                  1.6814471435110597E+001                  0.0000000000000000E+000                  3.5463842768843676E+000                  5.8508966836979006E+000                 -2.4826250614226584E+001                  5.1162509227111788E-005                                        0                                        0 
                                       2                  7.8894105200521478E+000                  5.9999984704064985E+001                  6.3380312008851580E-001                  3.5076829590228144E+001                 -5.7231281468248412E+000                                      651                  4.0771314661612791E+001                  6.7905444391560488E-001                  7.8131793479485623E-008                  6.9824494465485976E-001                  6.8198776462147270E-001                  6.9908542696560150E-001                  7.8131793479485623E-008                  7.1023093224284906E-001                  7.0841989568503094E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6077998603904436E+034                  6.5756445113409757E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8511940775825142E+000                 -2.4830188890090184E+001                 -9.8999999999999986E+001                  5.8511940775825142E+000                  4.6794366156523433E+000                  5.2799477615142392E+005                  5.7226296257538234E+000                  1.0257004180248515E+000                  4.1646396570313815E+000                  1.4609644794712549E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6172182777675665E+000                  3.5322035411472935E-001                  1.6299705422227547E+001                  6.1984705826515940E-001                  8.4955537092914568E-001                  1.2979983259591723E+000                  6.9911046840323754E-001                  2.8034813243950535E-001                  1.4068223984390146E-004                  9.2838391179254718E-003                  3.4416106108119933E-003                  9.3604466091399725E-003                  4.1961657195699480E+001                  1.6814492825885345E+001                  0.0000000000000000E+000                  3.5480141743101417E+000                  5.8490279350537566E+000                 -2.4830188890090184E+001                  5.9049649486096445E-005                                        0                                        0 
                                       4                  1.9250161668927241E+001                  5.9999963069394987E+001                  7.9216561218376547E-001                  3.5076829433631111E+001                 -5.7198349100491113E+000                                      648                  4.2229233945681187E+001                  7.0197455896272309E-001                  7.8131821679150448E-008                  9.9999999881369395E-001                  9.9999995654915708E-001                  7.0382099897027506E-001                  7.8131821679150448E-008                  9.9818897720503663E-001                  9.9772511361231586E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5882933133702413E+034                  6.5622126645230016E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8425207796192993E+000                 -2.4839722848130833E+001                 -9.9339898569113778E+000                  5.8425207796192993E+000                  4.6791360374888145E+000                  5.2859288582701713E+005                  5.7231213137959545E+000                  1.0265474183729739E+000                  4.1629454997381057E+000                  1.4552764443123226E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6170403693223427E+000                  3.5267459375282934E-001                  1.6298982686647413E+001                  6.1985348726494971E-001                  8.4955441492956918E-001                  1.2980009462749775E+000                  6.9910856054917614E-001                  2.8034955937473544E-001                  1.3749229110644699E-004                  9.2835326857822701E-003                  3.4416106108119951E-003                  9.3604466091399743E-003                  4.1961557986547021E+001                  1.6814548946930479E+001                  0.0000000000000000E+000                  3.5382152386138914E+000                  5.8403602581654672E+000                 -2.4839722848130833E+001                  4.6280270117524252E-005                                        0                                        0 
                                       6                  3.5609643323307367E+001                  5.9999931846004010E+001                  9.5052810427901502E-001                  3.5076829207628471E+001                 -5.7191490350139196E+000                                      648                  4.2611417467855723E+001                  7.0842051978077503E-001                  7.8131862424335452E-008                  9.9999999881369395E-001                  9.9999995595985758E-001                  7.1019109783694934E-001                  7.8131862424335452E-008                  9.9818949665303980E-001                  9.9793676479627103E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5611800931246740E+034                  6.5432600845808370E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8306516392391758E+000                 -2.4851967412482850E+001                 -9.8999999999999986E+001                  5.8306516392391758E+000                  4.6790612793659045E+000                  5.2882955191387364E+005                  5.7233157162856747E+000                  1.0267941358636534E+000                  4.1624518387541087E+000                  1.4536231765937322E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6168118856821163E+000                  3.5197514574374161E-001                  1.6298055351487868E+001                  6.1986187493640454E-001                  8.4955305289427796E-001                  1.2980046708405437E+000                  6.9910584282825683E-001                  2.8035161296806910E-001                  1.3306328859172026E-004                  9.2830927616967072E-003                  3.4416106108119951E-003                  9.3604466091399743E-003                  4.1961418319383583E+001                  1.6814629030545653E+001                  0.0000000000000000E+000                  3.5236741642341993E+000                  5.8285044020886403E+000                 -2.4851967412482850E+001                  3.4786040219647967E-005                                        0                                        0 
                                       8                  5.9167296905614748E+001                  5.9999886848333105E+001                  1.1088905963742646E+000                  3.5076828881923980E+001                 -5.7189143218120471E+000                                      648                  4.2703054990748356E+001                  7.1023209058116232E-001                  7.8131920933088850E-008                  9.9999999881369395E-001                  9.9999995628572924E-001                  7.1171892538218540E-001                  7.8131920933088850E-008                  9.9913725925041508E-001                  9.9861648639701961E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5302167385562244E+034                  6.5169734968011754E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8151333068718909E+000                 -2.4866994306202265E+001                 -9.8999999999999986E+001                  5.8151333068718909E+000                  4.6789420091471818E+000                  5.2879442952611134E+005                  5.7232868715176481E+000                  1.0270182539170876E+000                  4.1620032769427455E+000                  1.4521225744494612E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6165315381098138E+000                  3.5111748126410014E-001                  1.6296917759675374E+001                  6.1987240448005476E-001                  8.4955113605058130E-001                  1.2980098831221591E+000                  6.9910201810315198E-001                  2.8035457304813161E-001                  1.2723944848173183E-004                  9.2824598968112241E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  4.1961223135251693E+001                  1.6814743085324441E+001                  0.0000000000000000E+000                  3.5033525406139527E+000                  5.8130097451261760E+000                 -2.4866994306202265E+001                  2.5932886660841789E-005                                        0                                        0 
                                      10                  9.3090318064137378E+001                  5.9999822061757463E+001                  1.2672530884695141E+000                  3.5076828412981968E+001                 -5.7190599841351011E+000                                      648                  4.2743821647468280E+001                  7.1023285747518783E-001                  7.8132005310038721E-008                  9.9999999881369395E-001                  9.9999995664027741E-001                  7.1653618902681881E-001                  7.8132005310038721E-008                  9.9722926527372580E-001                  9.9662008924024181E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5002838881357030E+034                  6.4817615367688786E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7960839962258266E+000                 -2.4884178475672094E+001                 -9.6329598612473966E+000                  5.7960839962258275E+000                  4.6787889254762209E+000                  5.2857152399879729E+005                  5.7231037624595027E+000                  1.0272328667299351E+000                  4.1615735823750404E+000                  1.4506865428407211E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6162110127040492E+000                  3.5013703229577869E-001                  1.6295617033586321E+001                  6.1988485679941641E-001                  8.4954851561214895E-001                  1.2980169501931680E+000                  6.9909678921413598E-001                  2.8035875852107717E-001                  1.2009347646094030E-004                  9.2815669710497768E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  4.1960952368895555E+001                  1.6814905254782953E+001                  0.0000000000000000E+000                  3.4761488508063718E+000                  5.7940000297300731E+000                 -2.4884178475672094E+001                  1.9220330975856848E-005                                        0                                        0 
                                      12                  1.4193946853240996E+002                  5.9999728845557257E+001                  1.4256155805647639E+000                  3.5076827738258089E+001                 -5.7194735928935376E+000                                      648                  4.2758138268829875E+001                  7.1023396090031166E-001                  7.8132126546393010E-008                  9.9999999881369395E-001                  9.9999995715559353E-001                  7.1653728856145360E-001                  7.8132126546393010E-008                  9.9923096430298153E-001                  9.9904484215423028E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4633063051372710E+034                  6.4383344769962203E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7739131958495928E+000                 -2.4901706741078105E+001                 -9.8999999999999986E+001                  5.7739131958495920E+000                  4.6786368704038734E+000                  5.2821103085280384E+005                  5.7228074665196758E+000                  1.0273888289047159E+000                  4.1612609833015979E+000                  1.4496427347295388E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6158840897790379E+000                  3.4913640945943514E-001                  1.6294289573596100E+001                  6.1989844833988705E-001                  8.4954492050845631E-001                  1.2980265456742681E+000                  6.9908961494771338E-001                  2.8036473887392233E-001                  1.1168849364938407E-004                  9.2802942190214968E-003                  3.4416106108119946E-003                  9.3604466091399743E-003                  4.1960579254875057E+001                  1.6815135730135964E+001                  0.0000000000000000E+000                  3.4398238629947220E+000                  5.7718962089308112E+000                 -2.4901706741078105E+001                  1.4166357916627689E-005                                        0                                        0 
                                      14                  2.1228224520672248E+002                  5.9999594797412698E+001                  1.5839780726600134E+000                  3.5076826767979796E+001                 -5.7201138562845735E+000                                      648                  4.2742065290681772E+001                  7.1023554767010533E-001                  7.8132300962430179E-008                  9.9999999881369395E-001                  9.9999995794182039E-001                  7.1653890309727286E-001                  7.8132300962430179E-008                  9.9800030562228559E-001                  9.9782339501542727E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4194554641608989E+034                  6.4001191714648749E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7504943400648765E+000                 -2.4916287514160810E+001                 -9.8999999999999986E+001                  5.7504943400648765E+000                  4.6784924711563427E+000                  5.2774691494953469E+005                  5.7224257032315942E+000                  1.0274867457557366E+000                  4.1610641793212633E+000                  1.4489859664767535E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6156120021755704E+000                  3.4830133651218365E-001                  1.6293182533473857E+001                  6.1991158743112329E-001                  8.4954003469388562E-001                  1.2980394198338832E+000                  6.9907986379174714E-001                  2.8037326158516862E-001                  1.0259222556378668E-004                  9.2784847755378250E-003                  3.4416106108119951E-003                  9.3604466091399777E-003                  4.1960066915716325E+001                  1.6815463891624052E+001                  0.0000000000000000E+000                  3.3922422646656885E+000                  5.7485867472269634E+000                 -2.4916287514160810E+001                  1.0409962467820721E-005                                        0                                        0 
                                      16                  3.1357584361773252E+002                  5.9999402112548694E+001                  1.7423405647552632E+000                  3.5076825373268584E+001                 -5.7209278637072165E+000                                      651                  4.2704041584670428E+001                  7.1023782855349937E-001                  7.8132551761811442E-008                  9.9999999881369395E-001                  9.9999995905418770E-001                  7.1654120422355505E-001                  7.8132551761811442E-008                  9.9918221609637425E-001                  9.9880395734079119E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3748570939411681E+034                  6.3688051801581936E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7289410989949241E+000                 -2.4923415899306647E+001                 -9.9339898569113778E+000                  5.7289410989949241E+000                  4.6784200609405193E+000                  5.2724668016654742E+005                  5.7220138538645564E+000                  1.0274256415038647E+000                  4.1611849931137952E+000                  1.4493891073145700E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6154784616542841E+000                  3.4788540845415061E-001                  1.6292633582624241E+001                  6.1992215194861866E-001                  8.4953336893356413E-001                  1.2980567336381557E+000                  6.9906655771512904E-001                  2.8038548491212323E-001                  9.3695366848017285E-005                  9.2758949511612624E-003                  3.4416106108119951E-003                  9.3604466091399708E-003                  4.1959361908210191E+001                  1.6815933590056979E+001                  0.0000000000000000E+000                  3.3302148429018223E+000                  5.7272035921707731E+000                 -2.4923415899306647E+001                  7.6221776193308010E-006                                        0                                        0 
