                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      2.7000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                      58                  4.6102328040710995E+006                  2.3128253969466748E+001                  5.7128455983760045E+000                  3.4662821298201180E+001                 -5.1249387366082990E+000                                      620                  1.0120557492551409E+001                  4.3382337460196807E-001                  9.1205103469604865E-008                  6.0881458379566777E-001                  5.6319075790099882E-001                  4.3758415598134981E-001                  9.1205103469604865E-008                  6.9684171488197966E-001                  5.1961812165087062E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2248479495639971E+034                  1.8124505073615140E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1154548825165396E+000                 -2.4371366099286373E+001                 -1.0138109839567303E+001                  5.1154548825165396E+000                  4.4806217716634542E+000                  1.3031777509652839E+005                  5.1150036566937240E+000                  1.1195171214725796E+000                  3.5629979581089657E+000                  3.6559307272650904E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5998780042441716E+000                  6.2596524303378476E-001                  1.6316169872123311E+001                  9.7088268648197495E-001                  6.1432302875513278E-001                  2.3932407003841534E+000                  2.2864605710590732E-001                  7.5191267880939949E-001                  1.8242801277574205E-004                  5.4497352973311797E-004                  3.4415255921010730E-003                  9.3604466065267018E-003                  1.0535365955772647E+001                  1.2135802416115501E+001                  0.0000000000000000E+000                  8.3460061461021295E-001                  5.1154321346109413E+000                 -2.4371366099286373E+001                  3.1619728890663860E-008                                        0                                        0 
                                      60                  5.3536080419334844E+006                  1.7552939685498863E+001                  5.5190255723598920E+000                  3.4543028311092947E+001                 -5.1249387366082990E+000                                      666                  7.8503942043463333E+000                  4.4557802858060735E-001                  6.0087222641946880E-008                  9.9928632470730283E-001                  9.9600624715677155E-001                  4.4724099467121381E-001                  6.0087222641946880E-008                  9.9930886710532418E-001                  9.9592338154509186E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6554708689595715E+033                  1.4094394368375757E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0583050390906088E+000                 -2.3380503868136930E+001                 -9.8999999999999986E+001                  5.0583050390906088E+000                  4.3661142460097517E+000                  1.1414007973148627E+005                  5.0574381715853978E+000                  1.3197494302258221E+000                  3.0427403534942470E+000                  1.1034187347533946E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6149977941185991E+000                  7.2838661044727371E-001                  1.6375295609210465E+001                  1.1167955137807690E+000                  5.6204903461440103E-001                  2.9460628473780570E+000                  1.2409806915253241E-001                  8.5647503686275661E-001                  1.9184104095623157E-004                  4.4257132093433808E-004                  2.9458569315721867E-003                  9.3603660447680107E-003                  5.7022591367080686E+000                  1.1505451996531914E+001                  0.0000000000000000E+000                  3.2812309712232185E-001                  5.0582969554609036E+000                 -2.3380503868136930E+001                  1.3805894550306323E-007                                        0                                        0 
                                      62                  5.8293681941654114E+006                  1.3984738543759416E+001                  5.3252055463437786E+000                  3.4444332801849498E+001                 -5.1249387366082990E+000                                      688                  6.7303914545582870E+000                  4.8108668547684430E-001                  7.5418457812226336E-008                  9.9773335125259588E-001                  9.9499583916818057E-001                  4.8126687771089388E-001                  7.5418457812226336E-008                  9.9777777852511629E-001                  9.9490897177922921E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4995739239294862E+033                  1.2287224377373412E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0474409657086374E+000                 -2.1923254963296138E+001                 -1.0837079843903322E+001                  5.0474409657086374E+000                  4.3063242248295150E+000                  1.1136009991495530E+005                  5.0467296119260974E+000                  1.4339751927566449E+000                  2.7155933191891490E+000                  5.1950929126779079E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6409349871701471E+000                  8.3077274809012192E-001                  1.6463195663470657E+001                  1.2450154124403729E+000                  5.2402301865950240E-001                  3.5410850580402773E+000                  4.8046037313205947E-002                  9.3253614349077585E-001                  2.0693155943209100E-004                  3.9009537427486357E-004                  2.0675539295158033E-004                  6.5123988789841511E-003                  2.7184070571907211E+000                  1.0993326084050796E+001                  0.0000000000000000E+000                 -3.5736927466794088E-001                  5.0474392557920478E+000                 -2.1923254963296138E+001                  4.9802575266424299E-007                                        0                                        0 
                                      64                  6.0661910254986370E+006                  1.2208567308760223E+001                  4.8303555246636849E+000                  3.4385343152473382E+001                 -5.1249387366082990E+000                                      698                  6.0067412375401883E+000                  4.8979239907362460E-001                  8.6390760434262859E-008                  9.9999955250742789E-001                  9.9999369342076627E-001                  4.9201033058400451E-001                  8.6390760434262859E-008                  9.9887138300042522E-001                  9.9870722185913330E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1534894832550748E+033                  1.1692927484083648E+034                  1.2100908400526590E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.3485457834491458E+034                  6.1062806431836654E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0510904829839971E+000                 -1.8940388198935047E+001                 -1.0359958589183659E+001                  5.0510904829839980E+000                  4.4586379744478863E+000                  1.1283737799548903E+005                  5.0524529858906240E+000                  1.1322093805021656E+000                  3.2601352943219934E+000                  1.8202678323025502E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6999881112077135E+000                  1.0195812300099332E+000                  1.6687799733989308E+001                  1.3280129450732188E+000                  5.0265496338307747E-001                  3.9944096256011270E+000                  5.3099267661345130E-003                  9.7528286937116071E-001                  2.4234690345391915E-004                  3.5239331427110995E-004                  1.0544399873425671E-004                  2.8880863904827128E-003                  1.3171706847874063E+000                  1.0654162141772344E+001                  0.0000000000000000E+000                 -1.0646996067829582E+000                  5.0510901503287426E+000                 -1.8940388198935047E+001                  5.0744470495155413E-007                                        1                                        0 
                                      66                  6.0905499452929106E+006                  1.2025875410303165E+001                  4.0344755073196099E+000                  3.4378795150743358E+001                 -5.1249387366082990E+000                                      716                  5.7626066471421851E+000                  4.7800950792578778E-001                  8.7703171502973021E-008                  9.9999995775998451E-001                  9.9999898191509151E-001                  4.7918396378903721E-001                  8.7703171502973021E-008                  9.9985965188313486E-001                  9.9980329136148816E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2999706931643845E+033                  1.5769813717179023E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.1062806431836680E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0439271427863810E+000                 -1.6347768612089840E+001                 -9.8999999999999986E+001                  5.0439271427863810E+000                  4.5175661883256479E+000                  1.1533387680525670E+005                  5.0619568905439341E+000                  1.0191049050732968E+000                  3.4797962434497087E+000                  3.0185351916515051E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7560565693916130E+000                  1.1909723974206747E+000                  1.6911966092143146E+001                  1.3383414318999380E+000                  5.0032974310142042E-001                  4.0508176216399372E+000                  6.5948620280616372E-004                  9.7994005373850124E-001                  2.7727575623352025E-004                  3.4501468667621707E-004                  9.0344668002857091E-005                  1.8796993459496796E-003                  1.1961898827078767E+000                  1.0596074493637827E+001                  0.0000000000000000E+000                 -5.7681261087845948E-001                  5.0439261027582711E+000                 -1.6347768612089840E+001                  8.7360051551511774E-007                                        3                                        0 
                                      68                  6.1026752742571728E+006                  1.1934935443071208E+001                  3.5396254856395162E+000                  3.4375498524779054E+001                 -5.1249387366082990E+000                                      823                  3.3218385558020098E+000                  2.7580181509044321E-001                  8.8371438611289932E-008                  9.9999996714436845E-001                  9.9999906797309324E-001                  2.7832899236421876E-001                  8.8371438611289932E-008                  9.9965999164305208E-001                  9.9960000665635418E-001                  6.7656415012890694E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0659243231632760E+034                  1.1441441739259306E+034                  1.1441441739259306E+034                  1.6607659457052974E+034                  1.7858164045458710E+034                  6.3347015628412668E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1579018018899623E+000                 -4.4077765436535374E+000                 -3.3417792791777479E+000                  5.1579018033823916E+000                  4.3880115585851618E+000                  1.6472355831087413E+005                  5.2167557152156458E+000                  1.3556135768901256E+000                  2.8034822738517455E+000                  6.3603684385006898E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0048372694399230E+000                  2.0885003020531965E+000                  1.8014251543169962E+001                  1.3398118320162740E+000                  5.0000000000000000E-001                  4.0588786560903669E+000                  0.0000000000000000E+000                  9.8061689742487901E-001                  3.7852190118928231E-004                  3.4144009680198189E-004                  9.2925816703598124E-005                  1.1271728498062476E-003                  1.1385470346600661E+000                  1.0564672893514691E+001                  0.0000000000000000E+000                 -1.9341925274986754E-001                  5.1578998678554324E+000                 -4.4077765436535374E+000                  9.0889715414336035E-006                                        4                                        0 
                                      70                  6.1051696276441067E+006                  1.1916227792669204E+001                  3.0447754639594220E+000                  3.4374817247230887E+001                 -5.1249387366082990E+000                                      870                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9996570081178404E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9864370440517916E-001                  1.6173029953800955E-001                  6.5361071445640717E-001                  6.3605683139522096E-001                  1.1441493987764850E+034                  1.1441493987764850E+034                  1.6096893668421277E+034                  1.7186344936224132E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.3814669728412428E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1837530486603507E+000                 -1.5514082898542758E+000                 -5.7761401691682246E-001                  5.1837538809189301E+000                  4.1759159641364816E+000                  1.7878424354750552E+005                  5.2523292412948992E+000                  1.7975915288271136E+000                  1.9188450924296041E+000                  8.2955482260117591E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0672107037227221E+000                  2.3272987649602102E+000                  1.8302908219894597E+001                  1.3398118987428029E+000                  4.9999999999999994E-001                  4.0588792684733237E+000                  0.0000000000000000E+000                  9.8061673466914812E-001                  3.7856373147819730E-004                  3.4144059981269922E-004                  9.2902121813645934E-005                  1.1271643622335304E-003                  1.1265337063764855E+000                  1.0558345950352084E+001                  0.0000000000000000E+000                 -5.1569056489241505E-001                  5.1837521810172218E+000                 -1.5514082898542758E+000                  1.4766271845126022E-004                                        5                                        0 
                                      72                  6.1056062616731282E+006                  1.1912953037451549E+001                  2.3322641576357768E+000                  3.4374697880296736E+001                 -5.1249387366082990E+000                                      915                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9976176880789958E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5207660143145079E-001                  2.0421510853168134E-001                  1.0000000000000000E+000                  9.9976138130150694E-001                  1.1439911416498832E+034                  1.1439911416498832E+034                  1.6008452681531630E+034                  1.7067888256361757E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.3814669728412357E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1843042803764732E+000                 -1.0573141832738884E+000                 -5.2678529806621521E-002                  5.1843070458749221E+000                  4.1453048552060974E+000                  1.8104774411371181E+005                  5.2577931178021853E+000                  1.8615456849415242E+000                  1.7908174132666272E+000                  6.1775662737320488E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0788808159392715E+000                  2.3698686976258734E+000                  1.8355421220303374E+001                  1.3398119625123759E+000                  5.0000000000000000E-001                  4.0588798537189268E+000                  0.0000000000000000E+000                  9.8061657992057538E-001                  3.7860148274026758E-004                  3.4144086989272625E-004                  9.2892042152558073E-005                  1.1271640152484750E-003                  1.1244238232576920E+000                  1.0557245359253262E+001                  0.0000000000000000E+000                 -5.6597169929234148E-001                  5.1843035085694655E+000                 -1.0573141832738884E+000                  4.5852589862200059E-004                                        7                                        0 
                                      74                  6.1060235725347968E+006                  1.1909823205989030E+001                  2.3166926939181898E+000                  3.4374583765255956E+001                 -5.1249387366082990E+000                                      933                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9960729111432456E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6326968897800813E-001                  2.4847818090378648E-001                  1.0000000000000000E+000                  9.9960222109202479E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.8924600038536875E+031                  1.1441882716036219E+034                  1.1441882716036219E+034                  1.5926206639055678E+034                  1.6957096988086212E+034                  6.4199768131273780E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1855270988789837E+000                 -5.8874806139508906E-001                  4.4887963038715639E-001                  5.1855357932076913E+000                  4.1203141074147398E+000                  1.8328346604810137E+005                  5.2631232891414630E+000                  1.9141922661938791E+000                  1.6854101357211357E+000                  4.8462982257365702E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0902591194318081E+000                  2.4106339192044186E+000                  1.8406068252492073E+001                  1.3398121520161417E+000                  5.0000000000000000E-001                  4.0588815928914235E+000                  0.0000000000000000E+000                  9.8061612250728492E-001                  3.7870655238397485E-004                  3.4144135080428287E-004                  9.2882600904131625E-005                  1.1271636902403142E-003                  1.1224056996749137E+000                  1.0556195076579368E+001                  0.0000000000000000E+000                 -6.1087497435894844E-001                  5.1855264048420455E+000                 -5.8874806139508906E-001                  4.3702056449246827E-004                                        7                                        0 
